Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	
0	-9,31969E-5	0	1,25836	0	3,00126	0	1,40675	0	4,91151	0	4,85802	0	3,5349	0	4,87266	0	1,37721	0	2,18658	0	2,09506	0	5,3228	0	5,24981	0	4,25738	
1	-0,000530361	1	1,21533	1	2,90052	1	1,36727	1	4,78287	1	4,75862	1	3,42011	1	4,76434	1	1,34165	1	2,14935	1	2,05912	1	5,21103	1	5,1091	1	4,13277	
2	-0,00135171	2	1,17677	2	2,80241	2	1,33092	2	4,65319	2	4,65196	2	3,3023	2	4,65827	2	1,30178	2	2,1093	2	2,02642	2	5,09895	2	4,97144	2	4,00723	
3	0,00168717	3	1,13973	3	2,7041	3	1,293	3	4,52322	3	4,5472	3	3,19668	3	4,55134	3	1,26595	3	2,06784	3	1,99056	3	4,98154	3	4,83672	3	3,88464	
4	0,00239587	4	1,10547	4	2,60483	4	1,25203	4	4,39204	4	4,44152	4	3,09005	4	4,44309	4	1,22959	4	2,02698	4	1,95608	4	4,86448	4	4,70696	4	3,76474	
5	0,00433137	5	1,06549	5	2,50387	5	1,21349	5	4,25943	5	4,33297	5	2,9823	5	4,33137	5	1,19407	5	1,98592	5	1,91666	5	4,74791	5	4,57281	5	3,64386	
6	0,00288996	6	1,02357	6	2,40638	6	1,17726	6	4,13115	6	4,22564	6	2,87417	6	4,21538	6	1,15663	6	1,94511	6	1,87465	6	4,6262	6	4,44357	6	3,52687	
7	0,00613272	7	0,990319	7	2,31191	7	1,13714	7	4,00115	7	4,11728	7	2,77177	7	4,10284	7	1,11933	7	1,90604	7	1,83427	7	4,50934	7	4,31555	7	3,40899	
8	0,00753892	8	0,956257	8	2,221	8	1,09231	8	3,8656	8	4,00442	8	2,66706	8	3,98544	8	1,08299	8	1,86419	8	1,79638	8	4,3898	8	4,1809	8	3,29005	
9	0,00981211	9	0,921744	9	2,13653	9	1,05006	9	3,73513	9	3,89009	9	2,5565	9	3,87038	9	1,0527	9	1,82201	9	1,75549	9	4,26729	9	4,04862	9	3,17155	
10	0,0160347	10	0,891033	10	2,05147	10	1,00967	10	3,60509	10	3,77499	10	2,44926	10	3,74988	10	1,01336	10	1,7867	10	1,71401	10	4,14495	10	3,91441	10	3,05602	
11	0,0194707	11	0,859307	11	1,96617	11	0,964851	11	3,47435	11	3,66048	11	2,34211	11	3,63922	11	0,977951	11	1,74991	11	1,6743	11	4,02443	11	3,78077	11	2,94406	
12	0,0210595	12	0,826178	12	1,88159	12	0,924949	12	3,34721	12	3,54438	12	2,24013	12	3,52636	12	0,940433	12	1,70631	12	1,62881	12	3,89689	12	3,64363	12	2,83134	
13	0,0246981	13	0,796582	13	1,79509	13	0,885286	13	3,22095	13	3,42489	13	2,13842	13	3,41062	13	0,909268	13	1,66392	13	1,58465	13	3,76972	13	3,51377	13	2,72218	
14	0,0272553	14	0,764294	14	1,71224	14	0,840505	14	3,09716	14	3,29992	14	2,043	14	3,2934	14	0,874355	14	1,62064	14	1,5378	14	3,64293	14	3,37943	14	2,60903	
15	0,0297105	15	0,729102	15	1,62751	15	0,802289	15	2,97072	15	3,1773	15	1,94509	15	3,17769	15	0,842686	15	1,57615	15	1,49457	15	3,51844	15	3,24519	15	2,50209	
16	0,0331681	16	0,699014	16	1,54622	16	0,762426	16	2,84989	16	3,05454	16	1,849	16	3,06083	16	0,807116	16	1,52779	16	1,44733	16	3,39234	16	3,10954	16	2,3945	
17	0,0362138	17	0,671942	17	1,46533	17	0,732701	17	2,72624	17	2,92804	17	1,74805	17	2,94622	17	0,772019	17	1,48333	17	1,40016	17	3,26245	17	2,97701	17	2,28758	
18	0,0380198	18	0,642301	18	1,39037	18	0,699837	18	2,60514	18	2,79979	18	1,65386	18	2,82503	18	0,736707	18	1,44129	18	1,35317	18	3,12874	18	2,84164	18	2,18173	
19	0,0386964	19	0,618176	19	1,31556	19	0,660596	19	2,48114	19	2,67595	19	1,55908	19	2,70119	19	0,699442	19	1,39596	19	1,30561	19	2,99677	19	2,70981	19	2,07168	
20	0,0376478	20	0,588817	20	1,24188	20	0,630786	20	2,36115	20	2,54865	20	1,46668	20	2,57774	20	0,658386	20	1,35018	20	1,25755	20	2,86013	20	2,5781	20	1,96186	
21	0,0361864	21	0,559459	21	1,16877	21	0,594486	21	2,24411	21	2,41877	21	1,37469	21	2,45489	21	0,619288	21	1,29482	21	1,21137	21	2,7219	21	2,44988	21	1,85994	
22	0,0377425	22	0,526455	22	1,0969	22	0,557269	22	2,12557	22	2,29174	22	1,28123	22	2,33132	22	0,584167	22	1,24165	22	1,16247	22	2,5894	22	2,31958	22	1,75378	
23	0,0385757	23	0,493018	23	1,03187	23	0,528103	23	2,01125	23	2,15814	23	1,19376	23	2,20552	23	0,545869	23	1,19078	23	1,10857	23	2,45471	23	2,189	23	1,65284	
24	0,0455733	24	0,465794	24	0,965574	24	0,497535	24	1,89361	24	2,02608	24	1,10743	24	2,08358	24	0,510915	24	1,1329	24	1,05608	24	2,31797	24	2,05857	24	1,55155	
25	0,0492732	25	0,434676	25	0,901046	25	0,463482	25	1,77368	25	1,89268	25	1,02145	25	1,96322	25	0,479066	25	1,07039	25	1,00145	25	2,18266	25	1,92932	25	1,44996	
26	0,0515836	26	0,402915	26	0,837239	26	0,429811	26	1,65895	26	1,76746	26	0,93568	26	1,83897	26	0,43684	26	1,01107	26	0,946932	26	2,04438	26	1,80266	26	1,34126	
27	0,0561131	27	0,377052	27	0,773692	27	0,393069	27	1,54016	27	1,64021	27	0,852954	27	1,71727	27	0,392222	27	0,950586	27	0,889224	27	1,90105	27	1,6736	27	1,24572	
28	0,0545488	28	0,350712	28	0,713738	28	0,356843	28	1,42578	28	1,50636	28	0,770733	28	1,59963	28	0,351598	28	0,894255	28	0,829756	28	1,75887	28	1,55102	28	1,14094	
29	0,0565676	29	0,325433	29	0,65251	29	0,322078	29	1,31181	29	1,37276	29	0,693433	29	1,47454	29	0,315405	29	0,834304	29	0,770939	29	1,61506	29	1,42902	29	1,04086	
30	0,0580882	30	0,295384	30	0,592604	30	0,283203	30	1,19388	30	1,2425	30	0,612458	30	1,35183	30	0,282624	30	0,768821	30	0,709481	30	1,47065	30	1,30044	30	0,94054	
31	0,0627112	31	0,268424	31	0,538846	31	0,246697	31	1,0804	31	1,11198	31	0,531879	31	1,22667	31	0,247276	31	0,705981	31	0,648574	31	1,33215	31	1,17538	31	0,846041	
32	0,0655055	32	0,240858	32	0,482523	32	0,211978	32	0,96429	32	0,983814	32	0,453328	32	1,10522	32	0,209925	32	0,640062	32	0,585809	32	1,18556	32	1,0533	32	0,75428	
33	0,0705782	33	0,213242	33	0,428184	33	0,177848	33	0,853009	33	0,851209	33	0,37334	33	0,983218	33	0,169428	33	0,571392	33	0,522619	33	1,04607	33	0,931631	33	0,664399	
34	0,07636	34	0,18165	34	0,377878	34	0,137025	34	0,740345	34	0,716366	34	0,29735	34	0,856424	34	0,137147	34	0,502227	34	0,456525	34	0,902177	34	0,808161	34	0,571801	
35	0,0802165	35	0,150951	35	0,326223	35	0,0998206	35	0,633339	35	0,585869	35	0,22771	35	0,734829	35	0,103586	35	0,439994	35	0,390595	35	0,760216	35	0,687293	35	0,484393	
36	0,0858932	36	0,121417	36	0,273284	36	0,0603617	36	0,524414	36	0,455924	36	0,154114	36	0,606088	36	0,0716913	36	0,371446	36	0,320632	36	0,620124	36	0,568353	36	0,401305	
37	0,0855747	37	0,0860948	37	0,226907	37	0,0204699	37	0,412463	37	0,328692	37	0,0774989	37	0,479546	37	0,0359133	37	0,300439	37	0,254647	37	0,479859	37	0,447734	37	0,317675	
38	0,088001	38	0,0540243	38	0,178071	38	-0,0162977	38	0,304747	38	0,194837	38	0,00613528	38	0,355021	38	0,000351377	38	0,23196	38	0,187655	38	0,342825	38	0,327782	38	0,231897	
39	0,0913052	39	0,0227476	39	0,136252	39	-0,0547605	39	0,197595	39	0,0593689	39	-0,0659303	39	0,230846	39	-0,0346201	39	0,158258	39	0,112569	39	0,207645	39	0,20938	39	0,149963	
40	0,0952631	40	-0,00497188	40	0,0866296	40	-0,095795	40	0,0969074	40	-0,0753933	40	-0,133897	40	0,0981125	40	-0,0744856	40	0,0836993	40	0,0394367	40	0,0659834	40	0,0920128	40	0,0646241	
41	0,0991363	41	-0,00328586	41	0,0851486	41	-0,0958565	41	0,0988711	41	-0,0731474	41	-0,136867	41	0,10001	41	-0,0720873	41	0,0883366	41	0,0348376	41	0,066713	41	0,0891863	41	0,0686207	
42	0,10257	42	-0,00132072	42	0,0824145	42	-0,0952484	42	0,0974696	42	-0,0733621	42	-0,137131	42	0,102876	42	-0,0715563	42	0,0856633	42	0,036029	42	0,0685353	42	0,0904136	42	0,0710942	
43	0,106892	43	0,0032642	43	0,0818903	43	-0,0964078	43	0,0979296	43	-0,0725973	43	-0,133788	43	0,104279	43	-0,0654667	43	0,0853584	43	0,0320429	43	0,0685444	43	0,0917396	43	0,069837	
44	0,110125	44	0,00667931	44	0,0776283	44	-0,0958479	44	0,0998222	44	-0,0769059	44	-0,129171	44	0,098962	44	-0,0618844	44	0,0877033	44	0,0304414	44	0,0731087	44	0,0950176	44	0,0748385	
45	0,113307	45	0,00875586	45	0,0767113	45	-0,0953896	45	0,105209	45	-0,0745403	45	-0,128572	45	0,0966612	45	-0,0629754	45	0,089083	45	0,0298696	45	0,0790221	45	0,0915976	45	0,0753403	
46	0,119557	46	0,0137197	46	0,0714896	46	-0,0970387	46	0,110016	46	-0,0713616	46	-0,127674	46	0,0950213	46	-0,0610836	46	0,0899708	46	0,031434	46	0,0766372	46	0,0903708	46	0,0763676	
47	0,127344	47	0,0184186	47	0,0694787	47	-0,100649	47	0,112181	47	-0,0695937	47	-0,126187	47	0,0933212	47	-0,0610478	47	0,0875726	47	0,0395006	47	0,0794154	47	0,0866805	47	0,0757673	
