Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	-0,00156874	0	2,89253	0	6,09361	0	6,15785	0	5,15983	0	2,5021	0	2,8309	0	2,70538	0	1,84021	0	2,02248	0	1,99324	0	6,27789	0	5,97246	0	6,1139	0	5,98455	
1	-0,00197012	1	2,79651	1	5,95123	1	6,00337	1	5,05119	1	2,41268	1	2,74326	1	2,64864	1	1,80073	1	1,96893	1	1,94249	1	6,13297	1	5,82588	1	5,97464	1	5,82879	
2	0,000842934	2	2,70207	2	5,80474	2	5,84889	2	4,94168	2	2,32735	2	2,65395	2	2,58954	2	1,76428	2	1,9211	2	1,88958	2	5,99116	2	5,6808	2	5,82885	2	5,67528	
3	-0,00193697	3	2,60777	3	5,66053	3	5,69498	3	4,83614	3	2,24694	3	2,57054	3	2,53119	3	1,72324	3	1,86862	3	1,83654	3	5,84744	3	5,53927	3	5,68264	3	5,52141	
4	-0,00162408	4	2,50943	4	5,5174	4	5,54435	4	4,72995	4	2,16944	4	2,48727	4	2,47696	4	1,68334	4	1,8233	4	1,78786	4	5,70033	4	5,39041	4	5,54094	4	5,37332	
5	-0,00209032	5	2,41784	5	5,36857	5	5,39168	5	4,61908	5	2,09542	5	2,4007	5	2,42454	5	1,6454	5	1,77287	5	1,73835	5	5,55326	5	5,24442	5	5,39745	5	5,22436	
6	-0,00240557	6	2,32506	6	5,21895	6	5,23721	6	4,50347	6	2,0159	6	2,31866	6	2,36882	6	1,6051	6	1,72662	6	1,68957	6	5,40428	6	5,0997	6	5,24913	6	5,07618	
7	-0,00166835	7	2,23485	7	5,06602	7	5,08265	7	4,3869	7	1,94353	7	2,23482	7	2,31583	7	1,56349	7	1,67922	7	1,64434	7	5,25325	7	4,94966	7	5,10236	7	4,92359	
8	-0,00521627	8	2,14813	8	4,91391	8	4,92906	8	4,2755	8	1,86753	8	2,15767	8	2,26554	8	1,51938	8	1,63122	8	1,59711	8	5,10023	8	4,79931	8	4,95183	8	4,77375	
9	-0,0109893	9	2,05565	9	4,76687	9	4,77681	9	4,1583	9	1,79602	9	2,08227	9	2,21064	9	1,47393	9	1,5779	9	1,54811	9	4,94805	9	4,64951	9	4,80031	9	4,621	
