Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	0,000935374	0	2,3767	0	6,10177	0	4,28932	0	5,76006	0	2,7245	0	4,32204	0	6,32499	0	2,45671	0	5,14593	0	1,77989	0	1,28699	0	5,92658	0	1,45171	0	1,87882	
1	0,00194428	1	2,29588	1	5,96747	1	4,20997	1	5,6187	1	2,63787	1	4,2466	1	6,16767	1	2,41274	1	5,03417	1	1,71599	1	1,25012	1	5,7879	1	1,41919	1	1,84062	
2	9,7064E-5	2	2,21351	2	5,83137	2	4,12838	2	5,47994	2	2,55268	2	4,16406	2	6,01264	2	2,36611	2	4,92595	2	1,65203	2	1,21118	2	5,64976	2	1,38753	2	1,79584	
3	-0,00126868	3	2,13295	3	5,69522	3	4,04799	3	5,3421	3	2,46585	3	4,08213	3	5,85382	3	2,32389	3	4,81087	3	1,5888	3	1,17356	3	5,51119	3	1,35522	3	1,75373	
4	-0,000527391	4	2,0544	4	5,55407	4	3,96644	4	5,19966	4	2,37969	4	4,00303	4	5,69741	4	2,27737	4	4,69884	4	1,52301	4	1,13374	4	5,36759	4	1,32307	4	1,70765	
5	-0,0024249	5	1,97667	5	5,41588	5	3,88159	5	5,05812	5	2,29748	5	3,92276	5	5,54094	5	2,22955	5	4,58072	5	1,46661	5	1,09525	5	5,22269	5	1,28987	5	1,66567	
6	-0,00649622	6	1,90324	6	5,28059	6	3,80046	6	4,9112	6	2,20984	6	3,83698	6	5,38746	6	2,17805	6	4,46673	6	1,41388	6	1,05997	6	5,07484	6	1,25688	6	1,62282	
7	-0,0103495	7	1,82855	7	5,14216	7	3,71236	7	4,76546	7	2,12927	7	3,75079	7	5,22989	7	2,12587	7	4,34698	7	1,35791	7	1,02405	7	4,93424	7	1,2241	7	1,58036	
8	-0,0128917	8	1,75443	8	5,00136	8	3,62433	8	4,63022	8	2,04739	8	3,66249	8	5,07437	8	2,07676	8	4,22925	8	1,30017	8	0,98888	8	4,78498	8	1,19345	8	1,53652	
9	-0,0171251	9	1,68503	9	4,8577	9	3,53291	9	4,48031	9	1,97201	9	3,57502	9	4,91554	9	2,02206	9	4,10493	9	1,24502	9	0,95411	9	4,63428	9	1,15938	9	1,49064	
10	-0,0162786	10	1,61382	10	4,71226	10	3,44189	10	4,33486	10	1,89217	10	3,48484	10	4,75689	10	1,96794	10	3,98483	10	1,19531	10	0,918847	10	4,48597	10	1,12635	10	1,44222	
11	-0,0176099	11	1,54405	11	4,568	11	3,35151	11	4,19127	11	1,81663	11	3,3915	11	4,60348	11	1,91581	11	3,85826	11	1,14366	11	0,88598	11	4,33724	11	1,08816	11	1,39639	
12	-0,0210807	12	1,48082	12	4,4268	12	3,258	12	4,04864	12	1,74202	12	3,29539	12	4,44514	12	1,86296	12	3,73467	12	1,09639	12	0,853036	12	4,18717	12	1,05623	12	1,35346	
13	-0,021099	13	1,4153	13	4,27706	13	3,16467	13	3,904	13	1,66461	13	3,19902	13	4,28653	13	1,80708	13	3,60781	13	1,04979	13	0,81867	13	4,03384	13	1,02289	13	1,30927	
14	-0,0195976	14	1,34709	14	4,13366	14	3,06913	14	3,76019	14	1,58517	14	3,10668	14	4,13261	14	1,75244	14	3,48031	14	1,00873	14	0,783582	14	3,87759	14	0,990174	14	1,26152	
15	-0,0193584	15	1,28357	15	3,98992	15	2,9722	15	3,61741	15	1,50968	15	3,01002	15	3,9749	15	1,69608	15	3,34953	15	0,963503	15	0,748949	15	3,72237	15	0,956192	15	1,21936	
16	-0,0221807	16	1,21991	16	3,84403	16	2,87039	16	3,46954	16	1,44289	16	2,91134	16	3,81844	16	1,64206	16	3,22051	16	0,913648	16	0,714511	16	3,57219	16	0,9263	16	1,17717	
17	-0,0244457	17	1,15394	17	3,7001	17	2,76804	17	3,32958	17	1,36729	17	2,8109	17	3,66028	17	1,58222	17	3,08414	17	0,868304	17	0,680409	17	3,42008	17	0,892829	17	1,128	
18	-0,0240963	18	1,09489	18	3,55169	18	2,67017	18	3,18499	18	1,29351	18	2,71137	18	3,50649	18	1,5186	18	2,95438	18	0,822758	18	0,648556	18	3,26746	18	0,864166	18	1,08044	
19	-0,0251498	19	1,03588	19	3,40173	19	2,57181	19	3,04069	19	1,2244	19	2,60792	19	3,34527	19	1,46109	19	2,81896	19	0,778648	19	0,616509	19	3,11464	19	0,837903	19	1,03509	
20	-0,0265635	20	0,977542	20	3,24698	20	2,46585	20	2,89244	20	1,15695	20	2,50901	20	3,19141	20	1,40312	20	2,67925	20	0,738806	20	0,586475	20	2,96363	20	0,811629	20	0,990942	
21	-0,0264321	21	0,919521	21	3,09717	21	2,35495	21	2,74575	21	1,08692	21	2,40538	21	3,0378	21	1,34512	21	2,54385	21	0,697681	21	0,559238	21	2,81522	21	0,774216	21	0,950221	
22	-0,0271902	22	0,868481	22	2,94506	22	2,24127	22	2,597	22	1,01645	22	2,29943	22	2,88338	22	1,28634	22	2,3991	22	0,65423	22	0,524501	22	2,66612	22	0,740843	22	0,909356	
23	-0,028133	23	0,813117	23	2,79111	23	2,1254	23	2,44812	23	0,947812	23	2,1919	23	2,72746	23	1,22217	23	2,25914	23	0,608833	23	0,496696	23	2,51675	23	0,712484	23	0,866016	
24	-0,0265269	24	0,75564	24	2,63943	24	2,00948	24	2,29833	24	0,882604	24	2,07859	24	2,57435	24	1,16143	24	2,11981	24	0,569634	24	0,46861	24	2,3651	24	0,681438	24	0,826719	
25	-0,0256006	25	0,700225	25	2,48775	25	1,89498	25	2,14314	25	0,819745	25	1,96549	25	2,41653	25	1,09993	25	1,98226	25	0,527872	25	0,435727	25	2,21563	25	0,641385	25	0,782665	
26	-0,0247503	26	0,64805	26	2,33682	26	1,7782	26	1,99456	26	0,752692	26	1,84934	26	2,26365	26	1,03429	26	1,84197	26	0,489749	26	0,404387	26	2,06408	26	0,607382	26	0,738977	
27	-0,0232336	27	0,595982	27	2,17893	27	1,65954	27	1,84474	27	0,688776	27	1,73124	27	2,11276	27	0,970345	27	1,7019	27	0,452405	27	0,374636	27	1,91858	27	0,572481	27	0,692541	
