Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	-0,000842884	0	5,39159	0	2,29045	0	4,00031	0	2,387	0	5,14151	0	5,30643	0	1,7199	0	4,40175	0	2,92272	0	4,95484	0	5,27444	0	4,02314	0	3,54039	0	2,42171	
1	-0,00323218	1	5,27224	1	2,23693	1	3,9289	1	2,33759	1	5,02506	1	5,1949	1	1,68076	1	4,31269	1	2,83323	1	4,818	1	5,14619	1	3,95408	1	3,43639	1	2,36148	
2	-0,00336883	2	5,14957	2	2,18682	2	3,85262	2	2,28149	2	4,91202	2	5,08339	2	1,63579	2	4,21949	2	2,74291	2	4,68038	2	5,01456	2	3,88148	2	3,33554	2	2,30546	
3	-0,00616491	3	5,02459	3	2,1376	3	3,77488	3	2,22599	3	4,79504	3	4,96417	3	1,59388	3	4,12944	3	2,65651	3	4,54476	3	4,88429	3	3,80186	3	3,2265	3	2,2507	
4	-0,0113162	4	4,90478	4	2,08956	4	3,69534	4	2,17745	4	4,68071	4	4,84876	4	1,55604	4	4,03683	4	2,56887	4	4,4103	4	4,75235	4	3,72287	4	3,11819	4	2,19592	
5	-0,0147979	5	4,77895	5	2,0415	5	3,61237	5	2,12648	5	4,56825	5	4,73172	5	1,51691	5	3,94337	5	2,48569	5	4,27624	5	4,62241	5	3,64172	5	3,01707	5	2,13738	
6	-0,0165106	6	4,65832	6	1,99107	6	3,52901	6	2,07075	6	4,45132	6	4,61642	6	1,47631	6	3,84719	6	2,40464	6	4,13572	6	4,48931	6	3,55532	6	2,91408	6	2,08596	
7	-0,018126	7	4,53784	7	1,94197	7	3,44882	7	2,01297	7	4,33241	7	4,49895	7	1,44084	7	3,74621	7	2,32572	7	4,00253	7	4,35575	7	3,4702	7	2,81153	7	2,02932	
8	-0,0237134	8	4,41455	8	1,8993	8	3,36159	8	1,95778	8	4,21532	8	4,3779	8	1,40327	8	3,64576	8	2,24726	8	3,86226	8	4,22544	8	3,38114	8	2,71194	8	1,97353	
9	-0,0300769	9	4,29178	9	1,85287	9	3,27492	9	1,89994	9	4,09623	9	4,2601	9	1,36359	9	3,54587	9	2,17207	9	3,72185	9	4,09369	9	3,29293	9	2,6133	9	1,91835	
10	-0,035774	10	4,16338	10	1,80533	10	3,18494	10	1,8412	10	3,97821	10	4,13843	10	1,31768	10	3,44382	10	2,09463	10	3,58321	10	3,96103	10	3,20094	10	2,51675	10	1,86299	
11	-0,0407362	11	4,03539	11	1,75614	11	3,09281	11	1,77777	11	3,85861	11	4,0152	11	1,27498	11	3,34214	11	2,01959	11	3,44487	11	3,82631	11	3,10978	11	2,41922	11	1,81103	
12	-0,0418899	12	3,90636	12	1,70498	12	3,00525	12	1,72268	12	3,73251	12	3,89214	12	1,22414	12	3,23792	12	1,94471	12	3,30808	12	3,69425	12	3,01635	12	2,31928	12	1,75896	
13	-0,0443086	13	3,7807	13	1,65222	13	2,91418	13	1,6671	13	3,6068	13	3,76846	13	1,17974	13	3,13286	13	1,87486	13	3,17225	13	3,5558	13	2,92692	13	2,22398	13	1,70446	
14	-0,0481552	14	3,65176	14	1,60292	14	2,81804	14	1,60523	14	3,48559	14	3,6504	14	1,13653	14	3,02783	14	1,79948	14	3,03194	14	3,42449	14	2,83208	14	2,12633	14	1,64942	
15	-0,0502182	15	3,52144	15	1,5544	15	2,72052	15	1,54372	15	3,36349	15	3,52882	15	1,09388	15	2,92686	15	1,72378	15	2,89408	15	3,2928	15	2,73652	15	2,03076	15	1,5979	
16	-0,0545713	16	3,39051	16	1,50675	16	2,62558	16	1,48611	16	3,2455	16	3,40479	16	1,0464	16	2,82307	16	1,65528	16	2,7594	16	3,15695	16	2,63865	16	1,93684	16	1,54235	
17	-0,0573807	17	3,2594	17	1,45718	17	2,52901	17	1,42874	17	3,12335	17	3,27825	17	1,00088	17	2,7124	17	1,58238	17	2,62436	17	3,02411	17	2,5384	17	1,84827	17	1,49176	
18	-0,0600621	18	3,12521	18	1,40652	18	2,42549	18	1,36602	18	2,99875	18	3,15234	18	0,958409	18	2,59744	18	1,50527	18	2,48878	18	2,88487	18	2,43905	18	1,7604	18	1,43318	
19	-0,0658271	19	2,99035	19	1,3586	19	2,32292	19	1,30477	19	2,86689	19	3,02741	19	0,912775	19	2,48669	19	1,43345	19	2,35743	19	2,74746	19	2,34082	19	1,66893	19	1,38251	
20	-0,0686786	20	2,85681	20	1,31239	20	2,21901	20	1,24717	20	2,74125	20	2,89966	20	0,861489	20	2,37556	20	1,36009	20	2,22108	20	2,61529	20	2,24305	20	1,57664	20	1,33284	
21	-0,0748679	21	2,72026	21	1,25513	21	2,11208	21	1,19047	21	2,61064	21	2,77583	21	0,820935	21	2,26413	21	1,29082	21	2,09259	21	2,48398	21	2,14123	21	1,48762	21	1,27751	
22	-0,0734371	22	2,58305	22	1,19845	22	2,01158	22	1,13165	22	2,47777	22	2,6477	22	0,779728	22	2,15169	22	1,21794	22	1,96692	22	2,35507	22	2,0373	22	1,39362	22	1,2159	
23	-0,0753863	23	2,44629	23	1,14903	23	1,90848	23	1,07283	23	2,34825	23	2,5239	23	0,735647	23	2,0377	23	1,14645	23	1,84334	23	2,22111	23	1,93691	23	1,30871	23	1,15889	
24	-0,081942	24	2,31256	24	1,09946	24	1,80613	24	1,0157	24	2,21576	24	2,39539	24	0,686407	24	1,92274	24	1,07609	24	1,72059	24	2,08604	24	1,83546	24	1,22532	24	1,10429	
25	-0,0872528	25	2,17404	25	1,04628	25	1,70041	25	0,954653	25	2,08142	25	2,26826	25	0,641884	25	1,80755	25	1,00871	25	1,60189	25	1,95155	25	1,72561	25	1,14128	25	1,05088	
26	-0,0948281	26	2,03328	26	0,995404	26	1,59766	26	0,895791	26	1,94903	26	2,14012	26	0,598121	26	1,69057	26	0,938632	26	1,48482	26	1,82514	26	1,61886	26	1,05723	26	0,994999	
27	-0,102003	27	1,89264	27	0,940862	27	1,49105	27	0,839873	27	1,81562	27	2,00568	27	0,553781	27	1,57228	27	0,869151	27	1,3688	27	1,69001	27	1,51365	27	0,978164	27	0,943503	
28	-0,109016	28	1,7523	28	0,891371	28	1,38348	28	0,778923	28	1,67981	28	1,87222	28	0,510684	28	1,45441	28	0,802391	28	1,25775	28	1,55583	28	1,41009	28	0,896843	28	0,893975	
29	-0,114135	29	1,60802	29	0,835714	29	1,28044	29	0,723129	29	1,53856	29	1,73887	29	0,466842	29	1,33566	29	0,731573	29	1,152	29	1,41919	29	1,30428	29	0,817722	29	0,84087	
30	-0,120095	30	1,46305	30	0,785404	30	1,1682	30	0,667747	30	1,39709	30	1,60419	30	0,422911	30	1,21391	30	0,666344	30	1,0414	30	1,28233	30	1,19343	30	0,736328	30	0,786148	
31	-0,122629	31	1,32166	31	0,736261	31	1,0545	31	0,610131	31	1,25437	31	1,46845	31	0,371775	31	1,09611	31	0,598976	31	0,929266	31	1,1513	31	1,08248	31	0,660297	31	0,728099	
32	-0,127343	32	1,17445	32	0,679472	32	0,937376	32	0,545467	32	1,10924	32	1,33554	32	0,3249	32	0,978611	32	0,526975	32	0,820628	32	1,01876	32	0,976929	32	0,584831	32	0,670546	
33	-0,131718	33	1,02612	33	0,621596	33	0,818543	33	0,486325	33	0,969665	33	1,19679	33	0,27856	33	0,858963	33	0,465226	33	0,715292	33	0,88866	33	0,865906	33	0,511339	33	0,607016	
34	-0,135319	34	0,880796	34	0,565621	34	0,704135	34	0,428561	34	0,826407	34	1,05961	34	0,231009	34	0,737382	34	0,397273	34	0,611035	34	0,768529	34	0,751274	34	0,434657	34	0,546738	
35	-0,137909	35	0,731094	35	0,502551	35	0,584669	35	0,364432	35	0,6837	35	0,918404	35	0,180357	35	0,618973	35	0,337844	35	0,506765	35	0,640746	35	0,635743	35	0,364026	35	0,486675	
36	-0,144105	36	0,582094	36	0,439074	36	0,46267	36	0,302845	36	0,54347	36	0,77832	36	0,13433	36	0,505083	36	0,281196	36	0,402699	36	0,515132	36	0,521649	36	0,294336	36	0,42782	
37	-0,147383	37	0,436057	37	0,370612	37	0,338142	37	0,24239	37	0,399431	37	0,63881	37	0,0874655	37	0,382763	37	0,223537	37	0,296651	37	0,389124	37	0,404812	37	0,224219	37	0,369092	
38	-0,153456	38	0,289073	38	0,302709	38	0,217826	38	0,187125	38	0,257035	38	0,495282	38	0,0392003	38	0,257705	38	0,167184	38	0,193831	38	0,266731	38	0,28739	38	0,162118	38	0,312262	
39	-0,156767	39	0,143304	39	0,232723	39	0,0939937	39	0,127988	39	0,108771	39	0,353147	39	-0,00695243	39	0,135637	39	0,118464	39	0,092261	39	0,144464	39	0,166307	39	0,0950856	39	0,25436	
40	-0,160816	40	-0,00559235	40	0,157653	40	-0,0268731	40	0,0679899	40	-0,0367403	40	0,208273	40	-0,0534433	40	0,0109411	40	0,0653086	40	-0,00631392	40	0,0249904	40	0,0476868	40	0,0287071	40	0,189529	
41	-0,169713	41	-0,00611913	41	0,158217	41	-0,027121	41	0,0696066	41	-0,0373006	41	0,207616	41	-0,057536	41	0,0116454	41	0,0675262	41	-0,00406096	41	0,0264772	41	0,0520352	41	0,0297869	41	0,188934	
42	-0,174473	42	-0,0123874	42	0,160352	42	-0,0279819	42	0,070178	42	-0,0349399	42	0,206965	42	-0,0619034	42	0,0103848	42	0,0690593	42	-0,00552327	42	0,0248585	42	0,0528828	42	0,0289052	42	0,184928	
43	-0,179465	43	-0,0157413	43	0,161031	43	-0,0274352	43	0,0760354	43	-0,0332533	43	0,198272	43	-0,0617837	43	0,013324	43	0,0736361	43	-0,00161179	43	0,0246494	43	0,0527784	43	0,0269782	43	0,18397	
44	-0,181519	44	-0,0179271	44	0,162696	44	-0,0256164	44	0,0770204	44	-0,0295548	44	0,201373	44	-0,0638945	44	0,00993628	44	0,0735306	44	-0,002683	44	0,0238532	44	0,0548943	44	0,0302996	44	0,179325	
45	-0,179633	45	-0,0248763	45	0,164146	45	-0,0251904	45	0,0741723	45	-0,0312203	45	0,202976	45	-0,0676807	45	0,00925985	45	0,0743866	45	-0,00557117	45	0,0212779	45	0,0553659	45	0,0351846	45	0,173546	
46	-0,17825	46	-0,024189	46	0,165285	46	-0,0241304	46	0,0758398	46	-0,0304598	46	0,201549	46	-0,0747694	46	0,00641968	46	0,0767385	46	-0,00594385	46	0,0201217	46	0,0540278	46	0,0344159	46	0,172862	
47	-0,178366	47	-0,0280163	47	0,165954	47	-0,0219018	47	0,0772191	47	-0,0304069	47	0,200482	47	-0,0779939	47	0,00468678	47	0,0768684	47	-0,00579697	47	0,022449	47	0,0511938	47	0,0360065	47	0,170342	
48	-0,17849	48	-0,0363933	48	0,166898	48	-0,0304938	48	0,0778579	48	-0,0265931	48	0,200262	48	-0,0821083	48	0,0047357	48	0,0767007	48	-0,00818926	48	0,020775	48	0,0530075	48	0,0381547	48	0,175737	
49	-0,173184	49	-0,0393314	49	0,164944	49	-0,02849	49	0,083193	49	-0,0256324	49	0,202409	49	-0,0883804	49	0,000842639	49	0,0754681	49	-0,00603403	49	0,019241	49	0,0541461	49	0,0438037	49	0,173886	
50	-0,167583	50	-0,0422406	50	0,16448	50	-0,0282751	50	0,0856322	50	-0,0242241	50	0,202058	50	-0,0928332	50	-0,00175464	50	0,0740254	50	-0,00561378	50	0,017299	50	0,0558292	50	0,0477359	50	0,173653	
51	-0,161716	51	-0,044882	51	0,164408	51	-0,0289498	51	0,0870648	51	-0,029796	51	0,199702	51	-0,0922173	51	-0,00670858	51	0,0719036	51	-0,00534361	51	0,0155208	51	0,0597369	51	0,050645	51	0,175469	
52	-0,156757	52	-0,0426273	52	0,166849	52	-0,0320847	52	0,08635	52	-0,0313057	52	0,200351	52	-0,088972	52	-0,00429857	52	0,0719715	52	-0,00583851	52	0,0186919	52	0,0586295	52	0,0560938	52	0,175691	
53	-0,155656	53	-0,0418819	53	0,169566	53	-0,0377795	53	0,0798699	53	-0,0265064	53	0,199697	53	-0,0858391	53	-0,00585111	53	0,0709228	53	-0,00644744	53	0,0169249	53	0,05542	53	0,062545	53	0,176338	
54	-0,155587	54	-0,0458881	54	0,175852	54	-0,0391525	54	0,0761214	54	-0,0220878	54	0,195764	54	-0,088106	54	-0,00634726	54	0,066605	54	-0,00651568	54	0,0179582	54	0,0568402	54	0,0651131	54	0,17619	
55	-0,154809	55	-0,0502275	55	0,178995	55	-0,0377263	55	0,0747428	55	-0,0222476	55	0,192809	55	-0,0856899	55	-0,0081661	55	0,0691684	55	-0,00190064	55	0,0228172	55	0,0547823	55	0,0668898	55	0,176446	
56	-0,154841	56	-0,0512862	56	0,182627	56	-0,0368162	56	0,0778373	56	-0,0228289	56	0,193233	56	-0,0901256	56	-0,0128008	56	0,0739468	56	-0,00510748	56	0,0260814	56	0,0586622	56	0,0654532	56	0,173881	
57	-0,150954	57	-0,0537546	57	0,185059	57	-0,0379626	57	0,076774	57	-0,0248111	57	0,192646	57	-0,0917039	57	-0,0152887	57	0,0732284	57	-0,00537919	57	0,032944	57	0,0593436	57	0,0609614	57	0,173507	
58	-0,145313	58	-0,056218	58	0,186995	58	-0,0407116	58	0,0770045	58	-0,0263169	58	0,190455	58	-0,0931562	58	-0,0166512	58	0,0746258	58	-0,00480852	58	0,0379188	58	0,0564899	58	0,0585905	58	0,16515	
59	-0,147437	59	-0,0557589	59	0,188365	59	-0,0362533	59	0,0849489	59	-0,0260022	59	0,188815	59	-0,0979705	59	-0,0194533	59	0,0799742	59	-0,00445029	59	0,0399985	59	0,0574452	59	0,0555096	59	0,164152	
60	-0,145703	60	-0,0589515	60	0,193251	60	-0,0378569	60	0,0887315	60	-0,0248337	60	0,19114	60	-0,0981419	60	-0,0207384	60	0,0786733	60	-0,00559994	60	0,0405664	60	0,0563629	60	0,0537616	60	0,155071	
61	-0,146526	61	-0,0639259	61	0,195759	61	-0,0341215	61	0,0917856	61	-0,0214501	61	0,187954	61	-0,0974256	61	-0,0217798	61	0,0799366	61	-0,00549128	61	0,0385025	61	0,0518847	61	0,0543666	61	0,148913	
62	-0,144248	62	-0,067793	62	0,199706	62	-0,0326861	62	0,0897354	62	-0,0212058	62	0,181499	62	-0,100101	62	-0,0237287	62	0,082598	62	-0,00577158	62	0,0354002	62	0,0520616	62	0,0499298	62	0,151398	
63	-0,147896	63	-0,0721178	63	0,205301	63	-0,0301643	63	0,0918427	63	-0,0151834	63	0,178564	63	-0,102421	63	-0,0263361	63	0,0826649	63	-0,0073113	63	0,0325318	63	0,0489819	63	0,0541224	63	0,147578	
64	-0,145332	64	-0,070888	64	0,202133	64	-0,0300434	64	0,0946315	64	-0,017812	64	0,176677	64	-0,100444	64	-0,0295925	64	0,083119	64	-0,00703804	64	0,0343271	64	0,0455845	64	0,0532187	64	0,146591	
65	-0,138087	65	-0,0764322	65	0,201518	65	-0,0305201	65	0,0926881	65	-0,0158185	65	0,174894	65	-0,0989153	65	-0,0304389	65	0,0819903	65	-0,00921607	65	0,0355297	65	0,039625	65	0,0514173	65	0,147385	
66	-0,136176	66	-0,0762719	66	0,204611	66	-0,0316209	66	0,0923171	66	-0,016338	66	0,171428	66	-0,0951545	66	-0,0316299	66	0,0770205	66	-0,0108776	66	0,0392934	66	0,0432163	66	0,0496889	66	0,142775	
67	-0,129866	67	-0,0757819	67	0,203654	67	-0,0341754	67	0,0924337	67	-0,0222533	67	0,167802	67	-0,0962384	67	-0,0340931	67	0,0790065	67	-0,0112476	67	0,0374957	67	0,0459526	67	0,04937	67	0,141965	
68	-0,123964	68	-0,0767045	68	0,207981	68	-0,035551	68	0,0915499	68	-0,0235322	68	0,168179	68	-0,0927463	68	-0,0333038	68	0,0801057	68	-0,0116338	68	0,0443438	68	0,046698	68	0,0481479	68	0,139336	
69	-0,12021	69	-0,0767414	69	0,210351	69	-0,0352845	69	0,0963634	69	-0,024673	69	0,166936	69	-0,089089	69	-0,0364357	69	0,0821617	69	-0,0148658	69	0,0472512	69	0,0450253	69	0,0481078	69	0,139103	
70	-0,114281	70	-0,0801568	70	0,217032	70	-0,0422694	70	0,097709	70	-0,021822	70	0,166134	70	-0,0908873	70	-0,0395557	70	0,0832904	70	-0,020349	70	0,0519075	70	0,0458267	70	0,0447437	70	0,140514	
71	-0,109868	71	-0,0807393	71	0,216388	71	-0,0400654	71	0,0969743	71	-0,0203143	71	0,165433	71	-0,0922499	71	-0,0422057	71	0,0836356	71	-0,0235066	71	0,0583222	71	0,0513997	71	0,0394861	71	0,140866	
72	-0,109588	72	-0,0799561	72	0,209856	72	-0,0364487	72	0,0956124	72	-0,0219319	72	0,170474	72	-0,0884673	72	-0,0466526	72	0,0853134	72	-0,0215649	72	0,0634557	72	0,0520068	72	0,0371666	72	0,144041	
73	-0,107238	73	-0,079936	73	0,211384	73	-0,0320632	73	0,1002	73	-0,0183306	73	0,165719	73	-0,0878161	73	-0,0510929	73	0,0935554	73	-0,0216209	73	0,0624324	73	0,0487554	73	0,0305025	73	0,147819	
74	-0,105248	74	-0,0799096	74	0,21034	74	-0,0293886	74	0,100724	74	-0,0194925	74	0,166372	74	-0,0845043	74	-0,0506467	74	0,0864387	74	-0,0237357	74	0,0677867	74	0,0502638	74	0,0256712	74	0,15394	
75	-0,105897	75	-0,0824259	75	0,207255	75	-0,0308562	75	0,0997263	75	-0,0237827	75	0,165061	75	-0,0871762	75	-0,0502942	75	0,0864157	75	-0,0279076	75	0,0628983	75	0,0528034	75	0,0282878	75	0,156412	
76	-0,107368	76	-0,0801633	76	0,206298	76	-0,0289626	76	0,100798	76	-0,0244483	76	0,167694	76	-0,0855528	76	-0,0549351	76	0,0851674	76	-0,0314084	76	0,0638741	76	0,0592048	76	0,028323	76	0,155331	
77	-0,104488	77	-0,0774068	77	0,207612	77	-0,0239702	77	0,104484	77	-0,024591	77	0,170819	77	-0,0861522	77	-0,0595923	77	0,0808065	77	-0,0344721	77	0,0646877	77	0,0603588	77	0,0277464	77	0,15405	
78	-0,10361	78	-0,0797066	78	0,207525	78	-0,0216605	78	0,103124	78	-0,0260255	78	0,171568	78	-0,0900495	78	-0,0632217	78	0,0765443	78	-0,0352326	78	0,0676988	78	0,0604662	78	0,0245704	78	0,156542	
79	-0,103629	79	-0,0768871	79	0,206009	79	-0,0238634	79	0,0994242	79	-0,029427	79	0,173324	79	-0,0932904	79	-0,063409	79	0,0780351	79	-0,0343006	79	0,0649601	79	0,0614314	79	0,0218194	79	0,15501	
80	-0,103376	80	-0,0812465	80	0,20629	80	-0,0209918	80	0,0997666	80	-0,0277286	80	0,177458	80	-0,0949364	80	-0,06591	80	0,0768095	80	-0,03598	80	0,0638857	80	0,0612424	80	0,0214673	80	0,155233	
81	-0,10461	81	-0,0824352	81	0,203435	81	-0,0198014	81	0,0977418	81	-0,0257433	81	0,18038	81	-0,0979569	81	-0,0647491	81	0,0734589	81	-0,0384707	81	0,0624225	81	0,0621993	81	0,0219389	81	0,161705	
82	-0,0999473	82	-0,0832891	82	0,203125	82	-0,0158142	82	0,0995096	82	-0,0261001	82	0,177971	82	-0,102206	82	-0,0653879	82	0,070402	82	-0,0384191	82	0,0590073	82	0,0588898	82	0,0225084	82	0,16864	
83	-0,0940219	83	-0,0781256	83	0,201888	83	-0,00886687	83	0,0973441	83	-0,0245553	83	0,179924	83	-0,10207	83	-0,0622299	83	0,0704141	83	-0,0385767	83	0,0597552	83	0,0563076	83	0,0218375	83	0,175948	
84	-0,0900548	84	-0,0774499	84	0,204768	84	-0,00635691	84	0,0909315	84	-0,0240408	84	0,186036	84	-0,100663	84	-0,0651139	84	0,0691481	84	-0,0425891	84	0,0619211	84	0,0568377	84	0,0184946	84	0,177693	
85	-0,0867397	85	-0,0776889	85	0,209193	85	-0,000475569	85	0,0896805	85	-0,0227216	85	0,182771	85	-0,0980998	85	-0,0603045	85	0,0669176	85	-0,0432271	85	0,0614089	85	0,0582463	85	0,0117523	85	0,182045	
86	-0,0844739	86	-0,0734621	86	0,210593	86	0,00506069	86	0,091166	86	-0,0209771	86	0,179755	86	-0,101358	86	-0,0624312	86	0,0667954	86	-0,0442857	86	0,0667831	86	0,0607575	86	0,00748732	86	0,187026	
87	-0,0856379	87	-0,0734909	87	0,212426	87	0,00654314	87	0,088917	87	-0,0220303	87	0,181511	87	-0,102851	87	-0,0613304	87	0,0619318	87	-0,0459172	87	0,0683244	87	0,0645606	87	0,00371644	87	0,185609	
88	-0,0879903	88	-0,0711397	88	0,214445	88	0,00806142	88	0,0887096	88	-0,0207333	88	0,180327	88	-0,103534	88	-0,0610298	88	0,0623831	88	-0,0484583	88	0,0677812	88	0,0721652	88	0,00160806	88	0,183895	
89	-0,0918578	89	-0,0681443	89	0,216069	89	0,0144122	89	0,0891283	89	-0,0203539	89	0,178739	89	-0,107758	89	-0,0574456	89	0,0625084	89	-0,0506199	89	0,0686735	89	0,0741337	89	-0,00679371	89	0,177827	
90	-0,094919	90	-0,0667034	90	0,216296	90	0,015414	90	0,0842373	90	-0,0233076	90	0,179942	90	-0,104404	90	-0,0595879	90	0,0605089	90	-0,0493547	90	0,0670327	90	0,0777731	90	-0,0122246	90	0,180658	
91	-0,101863	91	-0,0676968	91	0,216072	91	0,0160532	91	0,0821908	91	-0,023745	91	0,181946	91	-0,105571	91	-0,0570806	91	0,0616552	91	-0,0535437	91	0,0694357	91	0,0758957	91	-0,0179379	91	0,178721	
92	-0,104445	92	-0,06803	92	0,218575	92	0,0224603	92	0,0778474	92	-0,01737	92	0,183447	92	-0,104294	92	-0,0509311	92	0,0671073	92	-0,052057	92	0,0708791	92	0,0767099	92	-0,0216525	92	0,173263	
93	-0,106242	93	-0,0752493	93	0,215017	93	0,0317276	93	0,079031	93	-0,0141437	93	0,180841	93	-0,111163	93	-0,0524393	93	0,0676662	93	-0,0515914	93	0,0693716	93	0,0761839	93	-0,0261609	93	0,171283	
94	-0,109519	94	-0,0787345	94	0,215261	94	0,0363563	94	0,0840433	94	-0,0131018	94	0,182116	94	-0,109483	94	-0,0485972	94	0,0651124	94	-0,0485748	94	0,0737183	94	0,0817958	94	-0,0315927	94	0,16763	
95	-0,11026	95	-0,0781057	95	0,213765	95	0,0390852	95	0,0872104	95	-0,0112625	95	0,183815	95	-0,111024	95	-0,0504137	95	0,0653496	95	-0,0499877	95	0,0766764	95	0,0812109	95	-0,035751	95	0,164176	
96	-0,111887	96	-0,0761738	96	0,215146	96	0,0444303	96	0,0877248	96	-0,0111737	96	0,18005	96	-0,115662	96	-0,0496812	96	0,0638669	96	-0,0493026	96	0,07769	96	0,0840062	96	-0,034441	96	0,162506	
97	-0,11003	97	-0,0759984	97	0,212283	97	0,04491	97	0,0847757	97	-0,00886619	97	0,176903	97	-0,116048	97	-0,0482525	97	0,0608291	97	-0,0463937	97	0,0779344	97	0,0849411	97	-0,0340501	97	0,161091	
98	-0,111166	98	-0,0713985	98	0,211467	98	0,0443485	98	0,0833645	98	-0,0067699	98	0,175984	98	-0,118878	98	-0,0425356	98	0,056189	98	-0,0437588	98	0,0792705	98	0,0870574	98	-0,0319363	98	0,16008	
99	-0,114789	99	-0,0783497	99	0,208554	99	0,0489183	99	0,0829811	99	-0,00989748	99	0,179331	99	-0,114437	99	-0,0424766	99	0,0562497	99	-0,0469655	99	0,072205	99	0,0888549	99	-0,0308891	99	0,160814	
100	-0,112479	100	-0,0803229	100	0,199864	100	0,0486477	100	0,0740662	100	-0,00870553	100	0,178917	100	-0,111052	100	-0,0416132	100	0,049057	100	-0,0512327	100	0,0693845	100	0,0898807	100	-0,0313172	100	0,157997	
101	-0,11062	101	-0,0830254	101	0,193706	101	0,0526622	101	0,0677834	101	-0,0102828	101	0,178188	101	-0,109919	101	-0,0452128	101	0,0467226	101	-0,0504062	101	0,0656351	101	0,0901695	101	-0,027697	101	0,158189	
102	-0,108945	102	-0,084975	102	0,185792	102	0,0556746	102	0,0661094	102	-0,0154759	102	0,181782	102	-0,105491	102	-0,0469494	102	0,0459336	102	-0,0473379	102	0,0637017	102	0,089138	102	-0,0254429	102	0,158611	
