Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	0,00165803	0	3,44605	0	2,26361	0	5,64966	0	2,44408	0	2,38727	0	2,08941	0	3,28337	0	4,86097	0	5,32851	0	2,96249	0	2,37441	0	2,52594	0	2,23074	0	2,38828	
1	0,000476707	1	3,34443	1	2,19628	1	5,5083	1	2,37667	1	2,3283	1	2,04045	1	3,19139	1	4,723	1	5,19546	1	2,87569	1	2,31653	1	2,44559	1	2,15798	1	2,32604	
2	-0,000149369	2	3,24262	2	2,13164	2	5,37112	2	2,31617	2	2,27223	2	1,9891	2	3,10037	2	4,58637	2	5,06176	2	2,7955	2	2,26075	2	2,37109	2	2,08726	2	2,26646	
3	0,000784803	3	3,14493	3	2,06598	3	5,23067	3	2,2556	3	2,21418	3	1,93888	3	3,00732	3	4,44439	3	4,93429	3	2,71978	3	2,19997	3	2,29102	3	2,01548	3	2,20927	
4	-0,000981119	4	3,04736	4	2,00203	4	5,09204	4	2,19766	4	2,15643	4	1,88856	4	2,91403	4	4,30341	4	4,79866	4	2,64197	4	2,14586	4	2,21489	4	1,94577	4	2,14745	
5	-0,00172426	5	2,94696	5	1,93846	5	4,95636	5	2,13948	5	2,09937	5	1,8382	5	2,8283	5	4,16205	5	4,66574	5	2,56553	5	2,08464	5	2,1379	5	1,87354	5	2,0883	
6	-0,000970115	6	2,84929	6	1,87111	6	4,81001	6	2,08083	6	2,04345	6	1,78701	6	2,74174	6	4,02065	6	4,53412	6	2,49167	6	2,02009	6	2,067	6	1,80652	6	2,03311	
7	-0,00132286	7	2,75801	7	1,81176	7	4,67078	7	2,02672	7	1,98834	7	1,7361	7	2,65192	7	3,87994	7	4,39695	7	2,41691	7	1,96646	7	1,98906	7	1,74146	7	1,97442	
8	-0,00315222	8	2,66079	8	1,75011	8	4,53402	8	1,97285	8	1,92868	8	1,6838	8	2,56379	8	3,73901	8	4,25778	8	2,34206	8	1,90287	8	1,91298	8	1,67985	8	1,91475	
9	-0,00271674	9	2,56471	9	1,68821	9	4,38945	9	1,91339	9	1,87104	9	1,63437	9	2,47739	9	3,59946	9	4,1208	9	2,2704	9	1,8429	9	1,83902	9	1,61337	9	1,8514	
10	-0,0016674	10	2,47419	10	1,62316	10	4,24426	10	1,85604	10	1,81503	10	1,5849	10	2,39149	10	3,45904	10	3,98193	10	2,19042	10	1,77955	10	1,76562	10	1,55176	10	1,79398	
11	-0,000257344	11	2,38225	11	1,5599	11	4,10295	11	1,80153	11	1,76265	11	1,53668	11	2,30559	11	3,32186	11	3,84422	11	2,11591	11	1,71341	11	1,69278	11	1,49055	11	1,73062	
12	-0,000433409	12	2,29176	12	1,49878	12	3,95949	12	1,74578	12	1,70656	12	1,49296	12	2,21642	12	3,18607	12	3,70567	12	2,04492	12	1,65546	12	1,61718	12	1,43217	12	1,66797	
13	-0,00145935	13	2,20223	13	1,44176	13	3,81756	13	1,68925	13	1,64911	13	1,44649	13	2,12948	13	3,05011	13	3,57043	13	1,97269	13	1,59742	13	1,5422	13	1,37593	13	1,60387	
14	-0,00056224	14	2,11013	14	1,38451	14	3,67739	14	1,63407	14	1,58944	14	1,39751	14	2,04415	14	2,90896	14	3,43627	14	1,90182	14	1,5382	14	1,47087	14	1,31847	14	1,54215	
15	-0,00137976	15	2,02416	15	1,32617	15	3,53864	15	1,57609	15	1,53402	15	1,35129	15	1,96148	15	2,77581	15	3,29762	15	1,82514	15	1,47937	15	1,40231	15	1,264	15	1,47911	
16	-0,0026845	16	1,93756	16	1,26848	16	3,39889	16	1,51447	16	1,47781	16	1,30477	16	1,88046	16	2,64198	16	3,15896	16	1,75316	16	1,42232	16	1,33429	16	1,2139	16	1,41398	
17	-0,0057628	17	1,85403	17	1,21396	17	3,26132	17	1,45676	17	1,41932	17	1,25819	17	1,80139	17	2,50546	17	3,0199	17	1,68015	17	1,3644	17	1,26628	17	1,15852	17	1,35138	
18	-0,00578857	18	1,77129	18	1,15852	18	3,12393	18	1,39442	18	1,35739	18	1,20997	18	1,72506	18	2,37669	18	2,87878	18	1,61024	18	1,31008	18	1,19846	18	1,10442	18	1,29015	
19	-0,00541292	19	1,69084	19	1,10496	19	2,98291	19	1,33292	19	1,29124	19	1,15912	19	1,64346	19	2,24958	19	2,74219	19	1,53951	19	1,25326	19	1,12755	19	1,04617	19	1,22742	
20	-0,00581636	20	1,61189	20	1,05541	20	2,84388	20	1,27301	20	1,23323	20	1,11363	20	1,56497	20	2,12315	20	2,6051	20	1,46973	20	1,1963	20	1,05946	20	0,991209	20	1,16337	
21	-0,00543489	21	1,53234	21	1,00176	21	2,7059	21	1,2153	21	1,17622	21	1,06397	21	1,48392	21	1,99392	21	2,47122	21	1,39687	21	1,14122	21	0,99408	21	0,935155	21	1,09715	
22	-0,00347815	22	1,45658	22	0,947656	22	2,56909	22	1,16103	22	1,11339	22	1,01355	22	1,40991	22	1,87317	22	2,33894	22	1,326	22	1,08378	22	0,930357	22	0,886189	22	1,03325	
23	-0,00447367	23	1,37824	23	0,898299	23	2,43604	23	1,10331	23	1,05455	23	0,958091	23	1,33208	23	1,75173	23	2,20714	23	1,25225	23	1,02643	23	0,866395	23	0,838642	23	0,969861	
24	-0,00417612	24	1,29874	24	0,850432	24	2,29924	24	1,03863	24	0,991952	24	0,903781	24	1,252	24	1,63471	24	2,07018	24	1,18399	24	0,969372	24	0,806909	24	0,78385	24	0,906455	
25	-0,00317774	25	1,22245	25	0,801985	25	2,16756	25	0,972531	25	0,933032	25	0,853576	25	1,17583	25	1,51867	25	1,9354	25	1,11459	25	0,914627	25	0,748098	25	0,728825	25	0,845514	
26	-0,00481547	26	1,14262	26	0,755227	26	2,04058	26	0,908017	26	0,87325	26	0,79983	26	1,09569	26	1,40315	26	1,80163	26	1,04742	26	0,857602	26	0,689371	26	0,673488	26	0,785266	
27	-0,0038378	27	1,06967	27	0,705951	27	1,9073	27	0,84559	27	0,817652	27	0,749641	27	1,01574	27	1,2909	27	1,66849	27	0,979755	27	0,798342	27	0,638882	27	0,617218	27	0,721607	
28	-0,00319983	28	0,993665	28	0,653378	28	1,77381	28	0,781791	28	0,759229	28	0,695204	28	0,939341	28	1,17598	28	1,53629	28	0,909878	28	0,735865	28	0,579775	28	0,561823	28	0,65667	
29	-0,000795656	29	0,920561	29	0,605953	29	1,63803	29	0,719448	29	0,696924	29	0,644578	29	0,862697	29	1,06391	29	1,40455	29	0,841195	29	0,670921	29	0,526246	29	0,506651	29	0,590319	
30	-0,000521683	30	0,844124	30	0,558125	30	1,49768	30	0,653744	30	0,641713	30	0,590217	30	0,784058	30	0,947088	30	1,26682	30	0,77436	30	0,60691	30	0,472493	30	0,453744	30	0,526544	
31	-0,00245312	31	0,76896	31	0,509995	31	1,36245	31	0,593112	31	0,582018	31	0,535847	31	0,707942	31	0,832277	31	1,12939	31	0,708314	31	0,543117	31	0,417598	31	0,401898	31	0,462635	
32	-0,00427933	32	0,694862	32	0,45877	32	1,2288	32	0,533795	32	0,519708	32	0,485471	32	0,632511	32	0,723479	32	0,991045	32	0,646012	32	0,476957	32	0,364216	32	0,349139	32	0,400704	
33	-0,00279823	33	0,626849	33	0,406888	33	1,09056	33	0,471799	33	0,452211	33	0,428732	33	0,557493	33	0,613521	33	0,855998	33	0,580421	33	0,40837	33	0,309296	33	0,29797	33	0,334796	
34	-0,00292272	34	0,561965	34	0,351291	34	0,952874	34	0,410836	34	0,386338	34	0,371279	34	0,490074	34	0,498045	34	0,721206	34	0,517628	34	0,338502	34	0,254897	34	0,247641	34	0,269436	
35	-0,00115768	35	0,49371	35	0,296761	35	0,815146	35	0,347692	35	0,327957	35	0,318264	35	0,419479	35	0,388518	35	0,581705	35	0,452552	35	0,269112	35	0,204259	35	0,198284	35	0,206296	
36	-0,00245789	36	0,421384	36	0,244629	36	0,674209	36	0,285109	36	0,265412	36	0,265498	36	0,34523	36	0,276726	36	0,447773	36	0,394586	36	0,198275	36	0,145315	36	0,149886	36	0,141087	
