Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	-0,00105642	0	4,66214	0	2,73776	0	4,53153	0	2,28363	0	3,81271	0	3,0831	0	2,33753	0	3,15024	0	3,01003	0	2,12262	0	3,1953	0	4,61275	0	5,13942	0	3,12192	
1	-0,00230863	1	4,55578	1	2,6478	1	4,43926	1	2,21141	1	3,73865	1	2,98665	1	2,27151	1	3,06977	1	2,95553	1	2,06433	1	3,10013	1	4,4814	1	5,01937	1	3,06648	
2	-0,00481691	2	4,44573	2	2,56361	2	4,34979	2	2,14097	2	3,66308	2	2,89071	2	2,20438	2	2,99156	2	2,90283	2	2,00837	2	3,00627	2	4,34961	2	4,89622	2	3,01427	
3	-0,00609417	3	4,33752	3	2,48185	3	4,26006	3	2,06952	3	3,58401	3	2,79595	3	2,13881	3	2,91315	3	2,84774	3	1,95523	3	2,91289	3	4,21876	3	4,77734	3	2,95589	
4	-0,0062281	4	4,22986	4	2,40054	4	4,16932	4	2,00032	4	3,50186	4	2,70596	4	2,07723	4	2,83906	4	2,79523	4	1,89708	4	2,81886	4	4,08369	4	4,65695	4	2,89242	
5	-0,00390192	5	4,12011	5	2,32066	5	4,07639	5	1,93558	5	3,41827	5	2,6148	5	2,01499	5	2,76039	5	2,73958	5	1,84226	5	2,72899	5	3,95359	5	4,53228	5	2,83626	
6	-0,00651917	6	4,01414	6	2,2434	6	3,97954	6	1,87377	6	3,34144	6	2,52602	6	1,95577	6	2,68544	6	2,68411	6	1,78695	6	2,63238	6	3,8244	6	4,41245	6	2,77649	
7	-0,00802534	7	3,90357	7	2,1661	7	3,88797	7	1,81079	7	3,2594	7	2,43836	7	1,89153	7	2,61129	7	2,6236	7	1,72772	7	2,54929	7	3,69946	7	4,29171	7	2,71671	
8	-0,00646669	8	3,79549	8	2,0948	8	3,79133	8	1,75047	8	3,17817	8	2,35167	8	1,82872	8	2,53856	8	2,56428	8	1,67125	8	2,46128	8	3,57445	8	4,17141	8	2,65337	
9	-0,0069941	9	3,68956	9	2,01925	9	3,69238	9	1,691	9	3,08898	9	2,26816	9	1,76721	9	2,46495	9	2,50443	9	1,6179	9	2,37733	9	3,44838	9	4,04703	9	2,58837	
10	-0,00948136	10	3,5825	10	1,94717	10	3,59429	10	1,63155	10	3,00204	10	2,17987	10	1,70708	10	2,39389	10	2,4443	10	1,56288	10	2,29395	10	3,32501	10	3,92151	10	2,52519	
11	-0,0125972	11	3,47086	11	1,87449	11	3,49313	11	1,57088	11	2,91018	11	2,09465	11	1,65424	11	2,32389	11	2,37862	11	1,50733	11	2,20983	11	3,20394	11	3,79617	11	2,46214	
12	-0,0125413	12	3,35932	12	1,80504	12	3,38966	12	1,5119	12	2,82034	12	2,01099	12	1,59544	12	2,25433	12	2,31547	12	1,45319	12	2,1273	12	3,08303	12	3,6686	12	2,39724	
13	-0,0112751	13	3,2507	13	1,73619	13	3,28987	13	1,46303	13	2,72806	13	1,93182	13	1,53414	13	2,18373	13	2,24592	13	1,39598	13	2,04431	13	2,96004	13	3,54524	13	2,33076	
14	-0,0102723	14	3,14078	14	1,66652	14	3,18492	14	1,41027	14	2,63564	14	1,85033	14	1,47716	14	2,10811	14	2,1791	14	1,34275	14	1,96297	14	2,83691	14	3,41426	14	2,26268	
15	-0,0122976	15	3,02789	15	1,59966	15	3,07414	15	1,35893	15	2,5478	15	1,76895	15	1,41937	15	2,03	15	2,11099	15	1,28756	15	1,88383	15	2,71737	15	3,28403	15	2,19473	
16	-0,0146161	16	2,91828	16	1,53596	16	2,96442	16	1,30278	16	2,45835	16	1,68888	16	1,35702	16	1,95364	16	2,03989	16	1,23898	16	1,8072	16	2,59493	16	3,15473	16	2,12516	
17	-0,0130852	17	2,80437	17	1,46758	17	2,86276	17	1,25251	17	2,36767	17	1,61265	17	1,30053	17	1,87463	17	1,96463	17	1,18364	17	1,73332	17	2,47772	17	3,02236	17	2,05822	
18	-0,0174294	18	2,69089	18	1,39693	18	2,75372	18	1,20387	18	2,27569	18	1,53993	18	1,2408	18	1,79461	18	1,89054	18	1,13482	18	1,66078	18	2,36253	18	2,89311	18	1,98355	
19	-0,0169177	19	2,57445	19	1,32723	19	2,64502	19	1,15205	19	2,18165	19	1,46061	19	1,18143	19	1,71821	19	1,81141	19	1,08235	19	1,58987	19	2,24758	19	2,75643	19	1,9093	
20	-0,0188371	20	2,45744	20	1,26343	20	2,52974	20	1,1032	20	2,08908	20	1,38333	20	1,12382	20	1,64261	20	1,73471	20	1,03082	20	1,51463	20	2,13531	20	2,62591	20	1,82772	
21	-0,0187127	21	2,33589	21	1,19558	21	2,42045	21	1,05876	21	1,99213	21	1,30663	21	1,0641	21	1,56886	21	1,65086	21	0,98324	21	1,44108	21	2,02059	21	2,49237	21	1,74833	
22	-0,0208759	22	2,21735	22	1,12833	22	2,30907	22	1,00392	22	1,89602	22	1,23287	22	1,00295	22	1,49454	22	1,56688	22	0,930537	22	1,36728	22	1,9048	22	2,35468	22	1,66723	
23	-0,0210029	23	2,09543	23	1,06251	23	2,1977	23	0,953587	23	1,79693	23	1,16682	23	0,942052	23	1,41468	23	1,48252	23	0,87655	23	1,29372	23	1,79574	23	2,22198	23	1,58148	
24	-0,0208029	24	1,97224	24	1,00018	24	2,08691	24	0,904073	24	1,69697	24	1,09404	24	0,881357	24	1,33749	24	1,40084	24	0,827619	24	1,22261	24	1,68079	24	2,08751	24	1,49656	
25	-0,0217407	25	1,84742	25	0,936122	25	1,97167	25	0,852021	25	1,59532	25	1,02545	25	0,818451	25	1,26109	25	1,32022	25	0,775893	25	1,1477	25	1,56863	25	1,95473	25	1,4139	
26	-0,0216932	26	1,72337	26	0,873623	26	1,85349	26	0,800457	26	1,48628	26	0,957656	26	0,759729	26	1,18706	26	1,24229	26	0,722389	26	1,0778	26	1,45477	26	1,82027	26	1,32655	
27	-0,0214019	27	1,59619	27	0,816848	27	1,73734	27	0,749239	27	1,37888	27	0,895289	27	0,697311	27	1,10871	27	1,1623	27	0,674642	27	1,00338	27	1,3381	27	1,67965	27	1,2399	
28	-0,0204467	28	1,47008	28	0,759628	28	1,62044	28	0,695237	28	1,27277	28	0,832444	28	0,637535	28	1,02853	28	1,08067	28	0,626147	28	0,928028	28	1,22771	28	1,54666	28	1,15222	
29	-0,0167058	29	1,34243	29	0,70165	29	1,50207	29	0,643939	29	1,16277	29	0,770057	29	0,577117	29	0,949006	29	0,992632	29	0,576455	29	0,861358	29	1,11481	29	1,41352	29	1,06051	
