Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	0,00569713	0	3,64792	0	4,37797	0	3,97068	0	5,16616	0	2,43647	0	3,88784	0	5,21881	0	2,55492	0	4,60576	0	3,42863	0	4,95802	0	4,22862	0	2,91032	0	3,09371	
1	0,0111358	1	3,54658	1	4,2597	1	3,88568	1	5,03302	1	2,37312	1	3,79781	1	5,102	1	2,49087	1	4,50158	1	3,32948	1	4,83068	1	4,13304	1	2,83346	1	3,03038	
2	0,0127679	2	3,44745	2	4,14242	2	3,80341	2	4,90445	2	2,31135	2	3,70842	2	4,98473	2	2,43037	2	4,39407	2	3,23239	2	4,70422	2	4,03849	2	2,75975	2	2,96409	
3	0,0125402	3	3,35336	3	4,02056	3	3,71791	3	4,77491	3	2,24777	3	3,61503	3	4,8617	3	2,36428	3	4,29079	3	3,13451	3	4,57677	3	3,94208	3	2,68765	3	2,90451	
4	0,0167934	4	3,25718	4	3,90159	4	3,6318	4	4,64668	4	2,1893	4	3,5232	4	4,74279	4	2,29796	4	4,18903	4	3,03726	4	4,44876	4	3,84705	4	2,61398	4	2,839	
5	0,0199466	5	3,16688	5	3,78304	5	3,54375	5	4,5142	5	2,13209	5	3,43331	5	4,62049	5	2,23611	5	4,08494	5	2,93728	5	4,32522	5	3,74572	5	2,54154	5	2,77624	
6	0,020733	6	3,07325	6	3,6655	6	3,45907	6	4,3831	6	2,07074	6	3,342	6	4,49706	6	2,17573	6	3,97954	6	2,84241	6	4,19906	6	3,64821	6	2,4704	6	2,71236	
7	0,0222875	7	2,97915	7	3,54397	7	3,36968	7	4,25325	7	2,01279	7	3,25067	7	4,36661	7	2,11426	7	3,86798	7	2,74689	7	4,07095	7	3,54605	7	2,40011	7	2,64497	
8	0,0245877	8	2,88246	8	3,42989	8	3,28209	8	4,12018	8	1,95415	8	3,15914	8	4,24455	8	2,05269	8	3,75741	8	2,65493	8	3,94089	8	3,44353	8	2,32587	8	2,57982	
9	0,0269959	9	2,78918	9	3,31463	9	3,19442	9	3,98873	9	1,89397	9	3,07389	9	4,1199	9	1,99222	9	3,64972	9	2,56675	9	3,81618	9	3,34373	9	2,25446	9	2,51398	
10	0,027535	10	2,6956	10	3,19724	10	3,10684	10	3,85524	10	1,83372	10	2,98297	10	3,99829	10	1,93336	10	3,54038	10	2,47181	10	3,6891	10	3,23896	10	2,18364	10	2,44607	
11	0,0290293	11	2,60869	11	3,08068	11	3,01888	11	3,72128	11	1,77319	11	2,89061	11	3,87434	11	1,87345	11	3,43265	11	2,38146	11	3,56028	11	3,13514	11	2,10667	11	2,37642	
12	0,0292948	12	2,52184	12	2,96703	12	2,92741	12	3,59363	12	1,71377	12	2,8017	12	3,74712	12	1,81227	12	3,32365	12	2,2912	12	3,43014	12	3,03236	12	2,03254	12	2,30901	
13	0,0289378	13	2,42873	13	2,85321	13	2,83934	13	3,47238	13	1,65214	13	2,71252	13	3,61836	13	1,75199	13	3,2126	13	2,20356	13	3,30018	13	2,92934	13	1,9644	13	2,23314	
14	0,0278989	14	2,33266	14	2,74283	14	2,7472	14	3,348	14	1,58862	14	2,61779	14	3,49013	14	1,69474	14	3,10182	14	2,11747	14	3,17099	14	2,82617	14	1,89525	14	2,16074	
15	0,0269062	15	2,23651	15	2,63461	15	2,65034	15	3,22455	15	1,52597	15	2,52496	15	3,35939	15	1,63783	15	2,99012	15	2,03316	15	3,04306	15	2,72085	15	1,81769	15	2,08617	
16	0,0290488	16	2,14754	16	2,52486	16	2,55304	16	3,10239	16	1,46893	16	2,43063	16	3,22854	16	1,58124	16	2,87951	16	1,94892	16	2,91785	16	2,62285	16	1,74288	16	2,00958	
17	0,0320236	17	2,05718	17	2,41528	17	2,4608	17	2,97344	17	1,4088	17	2,34047	17	3,10089	17	1,52356	17	2,76957	17	1,85987	17	2,79181	17	2,51829	17	1,67464	17	1,93592	
18	0,0327385	18	1,9696	18	2,30103	18	2,36236	18	2,84944	18	1,34576	18	2,24721	18	2,96829	18	1,46682	18	2,6546	18	1,77625	18	2,66805	18	2,41064	18	1,60336	18	1,86643	
19	0,0307707	19	1,88132	19	2,18992	19	2,26286	19	2,72916	19	1,28905	19	2,15283	19	2,83776	19	1,40836	19	2,53881	19	1,69352	19	2,54905	19	2,30648	19	1,53268	19	1,78963	
20	0,0301487	20	1,79355	20	2,07496	20	2,16465	20	2,60275	20	1,22605	20	2,05785	20	2,70548	20	1,34859	20	2,42301	20	1,61084	20	2,42218	20	2,20414	20	1,45603	20	1,71135	
21	0,0335229	21	1,70828	21	1,96593	21	2,06284	21	2,48243	21	1,16602	21	1,96399	21	2,57524	21	1,29235	21	2,30701	21	1,53242	21	2,29611	21	2,09789	21	1,38626	21	1,63655	
22	0,0331791	22	1,62029	22	1,86111	22	1,95925	22	2,36055	22	1,10445	22	1,87089	22	2,44089	22	1,23806	22	2,19246	22	1,45365	22	2,17211	22	1,98869	22	1,31815	22	1,55574	
23	0,0305189	23	1,53361	23	1,75659	23	1,85489	23	2,23669	23	1,04462	23	1,77481	23	2,31094	23	1,17747	23	2,07343	23	1,37351	23	2,04421	23	1,88313	23	1,25051	23	1,47926	
24	0,0283274	24	1,44626	24	1,64806	24	1,75307	24	2,11241	24	0,98224	24	1,67793	24	2,17786	24	1,11159	24	1,95725	24	1,29646	24	1,92151	24	1,77381	24	1,17451	24	1,40194	
25	0,0268509	25	1,35959	25	1,54102	25	1,6458	25	1,98855	25	0,917098	25	1,57917	25	2,04955	25	1,05033	25	1,84289	25	1,2209	25	1,80239	25	1,66477	25	1,0995	25	1,31947	
26	0,0280566	26	1,27612	26	1,43298	26	1,53569	26	1,86495	26	0,855864	26	1,47675	26	1,91922	26	0,988547	26	1,72697	26	1,14258	26	1,68079	26	1,55283	26	1,02557	26	1,23523	
27	0,0268404	27	1,19485	27	1,3272	27	1,42671	27	1,74412	27	0,793932	27	1,37813	27	1,79091	27	0,929003	27	1,60923	27	1,05938	27	1,5545	27	1,44607	27	0,95031	27	1,15703	
28	0,0249656	28	1,11573	28	1,2191	28	1,31776	28	1,6239	28	0,734301	28	1,27689	28	1,6599	28	0,863667	28	1,49316	28	0,97832	28	1,43179	28	1,3351	28	0,877097	28	1,07602	
29	0,0237734	29	1,03559	29	1,11194	29	1,20727	29	1,50702	29	0,677773	29	1,17647	29	1,52649	29	0,799913	29	1,37762	29	0,898007	29	1,30765	29	1,22862	29	0,802215	29	0,995585	
30	0,0243746	30	0,954285	30	1,00343	30	1,09615	30	1,38929	30	0,624253	30	1,07775	30	1,38967	30	0,735218	30	1,2641	30	0,819918	30	1,18626	30	1,11782	30	0,72637	30	0,911841	
31	0,0231841	31	0,875336	31	0,897661	31	0,984907	31	1,27175	31	0,563924	31	0,981367	31	1,258	31	0,67284	31	1,14895	31	0,745507	31	1,06211	31	1,00608	31	0,651313	31	0,831156	
32	0,0204278	32	0,8005	32	0,78949	32	0,86945	32	1,15077	32	0,506679	32	0,877483	32	1,12667	32	0,611669	32	1,03207	32	0,669042	32	0,942444	32	0,897115	32	0,574239	32	0,750133	
33	0,0203562	33	0,718828	33	0,686676	33	0,753085	33	1,02606	33	0,446486	33	0,77486	33	0,995845	33	0,546942	33	0,920285	33	0,598212	33	0,819685	33	0,783442	33	0,49131	33	0,672078	
34	0,0180968	34	0,638523	34	0,5863	34	0,638662	34	0,90571	34	0,388133	34	0,668566	34	0,865586	34	0,48457	34	0,797277	34	0,525432	34	0,700086	34	0,67078	34	0,410411	34	0,588618	
35	0,0154839	35	0,56115	35	0,483842	35	0,522767	35	0,787766	35	0,32899	35	0,565837	35	0,732543	35	0,416466	35	0,677147	35	0,455856	35	0,576355	35	0,56101	35	0,325193	35	0,502834	
36	0,0145139	36	0,48307	36	0,379669	36	0,409608	36	0,66929	36	0,268968	36	0,465303	36	0,601264	36	0,352417	36	0,554199	36	0,383668	36	0,460391	36	0,447188	36	0,238006	36	0,415745	
37	0,0127569	37	0,402438	37	0,274813	37	0,291446	37	0,550178	37	0,207246	37	0,36683	37	0,470849	37	0,284161	37	0,43243	37	0,311046	37	0,342599	37	0,337303	37	0,153254	37	0,335835	
38	0,0137573	38	0,327669	38	0,173348	38	0,174379	38	0,428001	38	0,148091	38	0,265709	38	0,338797	38	0,218195	38	0,310329	38	0,240321	38	0,223606	38	0,22164	38	0,0661943	38	0,247822	
39	0,0133827	39	0,24735	39	0,0701438	39	0,0543529	39	0,305082	39	0,0817267	39	0,16499	39	0,206495	39	0,147811	39	0,189041	39	0,169085	39	0,106454	39	0,108363	39	-0,0174628	39	0,162579	
40	0,0132989	40	0,171189	40	-0,0334336	40	-0,0602368	40	0,185167	40	0,019417	40	0,0635503	40	0,0791002	40	0,0839434	40	0,0657667	40	0,0992673	40	-0,0149761	40	-0,00911963	40	-0,106185	40	0,077205	
41	0,00686102	41	0,170457	41	-0,0355444	41	-0,0614216	41	0,185277	41	0,0193062	41	0,0649446	41	0,0801419	41	0,0876146	41	0,0597626	41	0,103278	41	-0,0122629	41	-0,0118848	41	-0,104184	41	0,0803491	
42	-2,84583E-5	42	0,173892	42	-0,0334404	42	-0,0651529	42	0,184117	42	0,0216757	42	0,0650622	42	0,0766705	42	0,0893715	42	0,0584038	42	0,109609	42	-0,00885852	42	-0,00575374	42	-0,0968982	42	0,0809854	
