Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	0,000268838	0	3,15967	0	4,54708	0	3,14037	0	3,08043	0	4,2163	0	4,07898	0	3,06325	0	4,67008	0	4,75552	0	4,21138	0	3,52053	0	2,98476	0	3,1031	0	3,15251	
1	-0,00544561	1	3,07475	1	4,43687	1	3,06381	1	3,00983	1	4,0991	1	3,97053	1	2,99326	1	4,56021	1	4,63938	1	4,11314	1	3,41705	1	2,9126	1	3,03012	1	3,0865	
2	-0,00810105	2	2,99058	2	4,32647	2	2,98519	2	2,93546	2	3,98605	2	3,86238	2	2,91379	2	4,4482	2	4,51509	2	4,01818	2	3,32054	2	2,83593	2	2,95368	2	3,01642	
3	-0,00965454	3	2,90776	3	4,21585	3	2,91486	3	2,86541	3	3,86477	3	3,75598	3	2,83301	3	4,33908	3	4,39476	3	3,9225	3	3,22183	3	2,76252	3	2,87458	3	2,94338	
4	-0,00988545	4	2,8303	4	4,10585	4	2,84036	4	2,79302	4	3,74439	4	3,64491	4	2,7549	4	4,22645	4	4,27604	4	3,82688	4	3,12362	4	2,68908	4	2,8003	4	2,8735	
5	-0,0130877	5	2,75496	5	3,9922	5	2,76423	5	2,71492	5	3,62656	5	3,53455	5	2,67774	5	4,11344	5	4,15768	5	3,73083	5	3,02309	5	2,62008	5	2,7237	5	2,80242	
6	-0,0157639	6	2,67997	6	3,879	6	2,68906	6	2,64096	6	3,51036	6	3,42838	6	2,60223	6	4,00186	6	4,03636	6	3,62725	6	2,92414	6	2,551	6	2,64608	6	2,73078	
7	-0,0194649	7	2,60485	7	3,76362	7	2,61229	7	2,5651	7	3,39624	7	3,32227	7	2,52651	7	3,89462	7	3,91155	7	3,52822	7	2,82801	7	2,47408	7	2,57269	7	2,65366	
8	-0,0230828	8	2,52635	8	3,64592	8	2,53709	8	2,48732	8	3,27764	8	3,21403	8	2,45013	8	3,77682	8	3,78989	8	3,42831	8	2,73304	8	2,402	8	2,49777	8	2,57979	
9	-0,0262461	9	2,44653	9	3,52731	9	2,45945	9	2,41176	9	3,16423	9	3,10585	9	2,37019	9	3,65888	9	3,66953	9	3,32705	9	2,63718	9	2,32613	9	2,42379	9	2,504	
10	-0,0310379	10	2,3668	10	3,41286	10	2,3847	10	2,33897	10	3,04965	10	2,99736	10	2,29721	10	3,54639	10	3,54381	10	3,22583	10	2,54438	10	2,25285	10	2,34796	10	2,42716	
11	-0,0345488	11	2,29266	11	3,2946	11	2,31458	11	2,26494	11	2,93062	11	2,89308	11	2,22009	11	3,43348	11	3,41956	11	3,12445	11	2,44562	11	2,17424	11	2,27476	11	2,35828	
12	-0,0376077	12	2,21837	12	3,18117	12	2,23917	12	2,1916	12	2,81783	12	2,79464	12	2,14439	12	3,31939	12	3,29654	12	3,02474	12	2,3489	12	2,09891	12	2,20012	12	2,28836	
13	-0,0386461	13	2,14282	13	3,06511	13	2,16347	13	2,11047	13	2,70319	13	2,69274	13	2,07148	13	3,20584	13	3,17159	13	2,9209	13	2,25563	13	2,02113	13	2,12611	13	2,2155	
14	-0,0385084	14	2,06514	14	2,9524	14	2,08885	14	2,03356	14	2,58705	14	2,59171	14	1,99285	14	3,08799	14	3,05328	14	2,8171	14	2,16089	14	1,94491	14	2,04961	14	2,13975	
15	-0,0387115	15	1,99269	15	2,83647	15	2,01506	15	1,95774	15	2,47574	15	2,48744	15	1,91498	15	2,97488	15	2,93327	15	2,71256	15	2,06519	15	1,86193	15	1,97516	15	2,06595	
16	-0,0413015	16	1,91738	16	2,72151	16	1,94345	16	1,88716	16	2,36156	16	2,38231	16	1,83427	16	2,86059	16	2,80769	16	2,60485	16	1,97388	16	1,78176	16	1,90187	16	1,99374	
17	-0,0460182	17	1,84055	17	2,61223	17	1,86575	17	1,81455	17	2,2516	17	2,28211	17	1,75695	17	2,74856	17	2,68513	17	2,50126	17	1,88277	17	1,70985	17	1,83035	17	1,92401	
18	-0,0489311	18	1,76517	18	2,49946	18	1,79364	18	1,74151	18	2,14188	18	2,17751	18	1,67823	18	2,62981	18	2,56976	18	2,39672	18	1,7857	18	1,63758	18	1,75496	18	1,84969	
19	-0,0515635	19	1,68987	19	2,38792	19	1,71275	19	1,6647	19	2,03552	19	2,072	19	1,59996	19	2,51112	19	2,45438	19	2,29254	19	1,68909	19	1,56954	19	1,67702	19	1,77525	
20	-0,0524348	20	1,60869	20	2,27918	20	1,64021	20	1,58645	20	1,92791	20	1,96801	20	1,52828	20	2,39312	20	2,33684	20	2,18259	20	1,59599	20	1,49776	20	1,60336	20	1,7045	
21	-0,058245	21	1,53194	21	2,16955	21	1,56588	21	1,51049	21	1,81926	21	1,86478	21	1,45008	21	2,27679	21	2,21592	21	2,07414	21	1,50841	21	1,42154	21	1,52352	21	1,63242	
22	-0,0601243	22	1,45808	22	2,06011	22	1,49133	22	1,43585	22	1,71085	22	1,76732	22	1,36925	22	2,15834	22	2,09837	22	1,96954	22	1,42175	22	1,34857	22	1,44695	22	1,56332	
23	-0,0600005	23	1,38387	23	1,94972	23	1,41947	23	1,36353	23	1,5986	23	1,66483	23	1,29219	23	2,04048	23	1,97667	23	1,86624	23	1,33949	23	1,27515	23	1,37329	23	1,49466	
24	-0,0609551	24	1,31027	24	1,8378	24	1,33884	24	1,2868	24	1,49269	24	1,5565	24	1,21261	24	1,9218	24	1,85805	24	1,76004	24	1,25684	24	1,20231	24	1,29695	24	1,41499	
25	-0,0654985	25	1,23527	25	1,72469	25	1,26736	25	1,20845	25	1,38784	25	1,4527	25	1,12932	25	1,80493	25	1,74056	25	1,65074	25	1,16795	25	1,12386	25	1,22118	25	1,33808	
26	-0,0688823	26	1,16253	26	1,61255	26	1,19242	26	1,13018	26	1,28266	26	1,35353	26	1,05392	26	1,68555	26	1,61627	26	1,54181	26	1,08449	26	1,04561	26	1,13879	26	1,26237	
27	-0,0704123	27	1,08905	27	1,50391	27	1,11777	27	1,05154	27	1,17436	27	1,25041	27	0,976888	27	1,57005	27	1,49526	27	1,43677	27	0,994841	27	0,969532	27	1,05848	27	1,18456	
28	-0,0730637	28	1,01219	28	1,39326	28	1,04377	28	0,971949	28	1,06902	28	1,15168	28	0,8989	28	1,44747	28	1,37756	28	1,33045	28	0,913531	28	0,894298	28	0,978486	28	1,10406	
29	-0,0730305	29	0,936191	29	1,27944	29	0,969698	29	0,896929	29	0,963352	29	1,04864	29	0,822307	29	1,32296	29	1,2544	29	1,21855	29	0,827225	29	0,814822	29	0,897502	29	1,0256	
30	-0,0760785	30	0,860229	30	1,16599	30	0,900344	30	0,821437	30	0,860055	30	0,945782	30	0,748116	30	1,20053	30	1,13357	30	1,10737	30	0,741498	30	0,738663	30	0,820208	30	0,946752	
31	-0,0797803	31	0,787219	31	1,05381	31	0,822575	31	0,743913	31	0,75794	31	0,848783	31	0,676055	31	1,08206	31	1,01803	31	1,00018	31	0,658462	31	0,660221	31	0,743671	31	0,86975	
32	-0,0841981	32	0,713237	32	0,941224	32	0,744412	32	0,667402	32	0,654993	32	0,745956	32	0,602605	32	0,965643	32	0,893807	32	0,887154	32	0,576362	32	0,584417	32	0,661852	32	0,788059	
33	-0,0872132	33	0,638702	33	0,828877	33	0,673923	33	0,589805	33	0,549738	33	0,648317	33	0,527651	33	0,848692	33	0,773116	33	0,779144	33	0,494554	33	0,504672	33	0,582296	33	0,710462	
34	-0,0867877	34	0,566325	34	0,718474	34	0,605777	34	0,513116	34	0,445534	34	0,549898	34	0,454255	34	0,728805	34	0,652008	34	0,667734	34	0,411355	34	0,425024	34	0,500848	34	0,633349	
35	-0,0903181	35	0,493539	35	0,605767	35	0,533214	35	0,436103	35	0,341875	35	0,455549	35	0,384192	35	0,613963	35	0,531777	35	0,559841	35	0,327075	35	0,354067	35	0,421871	35	0,548123	
36	-0,0920567	36	0,426625	36	0,490053	36	0,458185	36	0,356254	36	0,241288	36	0,362645	36	0,310582	36	0,493109	36	0,408537	36	0,445345	36	0,249179	36	0,277375	36	0,342575	36	0,473698	
37	-0,0935767	37	0,35357	37	0,374175	37	0,382882	37	0,279725	37	0,136739	37	0,269045	37	0,234266	37	0,370104	37	0,285405	37	0,325571	37	0,164296	37	0,201064	37	0,263503	37	0,396951	
