Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	0,00196149	0	2,64885	0	3,10772	0	4,94736	0	4,6304	0	3,45132	0	5,01883	0	2,73866	0	2,83303	0	1,56344	0	1,26822	0	5,54321	0	4,49985	0	1,31652	0	1,31595	
1	0,000806361	1	2,55156	1	3,00689	1	4,81181	1	4,48754	1	3,33838	1	4,90657	1	2,69322	1	2,7822	1	1,50949	1	1,23666	1	5,40632	1	4,36021	1	1,28798	1	1,28135	
2	0,000764142	2	2,46319	2	2,90306	2	4,67804	2	4,34452	2	3,23114	2	4,79471	2	2,6445	2	2,72882	2	1,45524	2	1,20572	2	5,26743	2	4,22666	2	1,2565	2	1,24666	
3	-0,000633744	3	2,37454	3	2,79861	3	4,54432	3	4,20295	3	3,12311	3	4,68254	3	2,59704	3	2,66953	3	1,40632	3	1,17069	3	5,12933	3	4,0938	3	1,22448	3	1,21073	
4	-0,00100445	4	2,28813	4	2,70134	4	4,41532	4	4,06406	4	3,01629	4	4,57205	4	2,54192	4	2,6104	4	1,35491	4	1,14132	4	4,98763	4	3,96001	4	1,19043	4	1,18003	
5	-0,00186847	5	2,20401	5	2,60425	5	4,27831	5	3,92834	5	2,91337	5	4,45747	5	2,48982	5	2,55134	5	1,30793	5	1,11126	5	4,84658	5	3,83116	5	1,15395	5	1,15066	
6	-0,00310272	6	2,12037	6	2,50968	6	4,1429	6	3,78964	6	2,80611	6	4,3399	6	2,43835	6	2,48632	6	1,25801	6	1,07975	6	4,70652	6	3,7038	6	1,11928	6	1,11269	
7	9,87729E-5	7	2,03932	7	2,41517	7	4,01164	7	3,65459	7	2,6992	7	4,22118	7	2,38776	7	2,42439	7	1,21462	7	1,05026	7	4,56489	7	3,57769	7	1,09004	7	1,07717	
8	0,0030405	8	1,95868	8	2,31926	8	3,87979	8	3,52532	8	2,59678	8	4,10237	8	2,33402	8	2,35783	8	1,16965	8	1,02391	8	4,42867	8	3,45075	8	1,06038	8	1,04508	
9	0,0014079	9	1,87811	9	2,2287	9	3,74923	9	3,39656	9	2,49318	9	3,9816	9	2,27967	9	2,29077	9	1,12268	9	0,991629	9	4,29058	9	3,3226	9	1,0272	9	1,01366	
10	0,00583216	10	1,79873	10	2,13849	10	3,61802	10	3,27121	10	2,38865	10	3,85946	10	2,22715	10	2,2305	10	1,07996	10	0,963141	10	4,14857	10	3,20131	10	0,99615	10	0,981153	
11	0,00664711	11	1,71873	11	2,04869	11	3,48969	11	3,14263	11	2,28643	11	3,73646	11	2,17005	11	2,16859	11	1,03592	11	0,93283	11	4,00571	11	3,07265	11	0,959553	11	0,94709	
12	0,00685824	12	1,6373	12	1,95833	12	3,3596	12	3,01965	12	2,19106	12	3,61216	12	2,10761	12	2,10191	12	0,994539	12	0,904579	12	3,86624	12	2,94972	12	0,927913	12	0,914037	
