Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	0,00496811	0	3,72505	0	5,37182	0	3,98171	0	3,99876	0	2,78387	0	2,30608	0	5,39235	0	2,6837	0	2,42036	0	3,40371	0	4,1313	0	2,59447	0	4,01745	0	5,64073	
1	0,00751634	1	3,64522	1	5,24448	1	3,90226	1	3,88237	1	2,70413	1	2,23531	1	5,25784	1	2,62094	1	2,3631	1	3,33369	1	4,0148	1	2,5257	1	3,93354	1	5,51703	
2	0,00851006	2	3,56756	2	5,12144	2	3,82406	2	3,76579	2	2,62823	2	2,16565	2	5,11626	2	2,55846	2	2,31175	2	3,26101	2	3,89833	2	2,45896	2	3,85348	2	5,39151	
3	0,0110636	3	3,49268	3	4,998	3	3,74559	3	3,65017	3	2,55292	3	2,09584	3	4,98264	3	2,49104	3	2,26216	3	3,1895	3	3,78082	3	2,39452	3	3,77471	3	5,27118	
4	0,017364	4	3,41176	4	4,87213	4	3,66196	4	3,53543	4	2,47524	4	2,02778	4	4,84509	4	2,42482	4	2,20526	4	3,11938	4	3,6662	4	2,32777	4	3,69228	4	5,14676	
5	0,0196517	5	3,33241	5	4,74999	5	3,58012	5	3,4247	5	2,40506	5	1,96431	5	4,70939	5	2,36001	5	2,14911	5	3,04787	5	3,54904	5	2,26197	5	3,60891	5	5,01928	
6	0,023988	6	3,2507	6	4,62645	6	3,49269	6	3,31405	6	2,33675	6	1,89791	6	4,57024	6	2,29331	6	2,0965	6	2,97469	6	3,43482	6	2,1965	6	3,52353	6	4,89404	
7	0,0287978	7	3,1677	7	4,4961	7	3,4015	7	3,20751	7	2,26504	7	1,82929	7	4,42793	7	2,22883	7	2,04758	7	2,90021	7	3,32175	7	2,1299	7	3,44154	7	4,76322	
8	0,037893	8	3,08609	8	4,36667	8	3,31749	8	3,09243	8	2,19201	8	1,76276	8	4,28454	8	2,16663	8	1,99228	8	2,82352	8	3,20929	8	2,06496	8	3,35322	8	4,63302	
9	0,0443943	9	3,00198	9	4,23837	9	3,2294	9	2,98509	9	2,11703	9	1,6982	9	4,14029	9	2,10578	9	1,93582	9	2,75314	9	3,09628	9	2,0013	9	3,26319	9	4,49768	
10	0,0523828	10	2,91566	10	4,10931	10	3,13754	10	2,87603	10	2,04716	10	1,63379	10	3,99987	10	2,03983	10	1,88149	10	2,68087	10	2,98617	10	1,94319	10	3,17252	10	4,37166	
11	0,0537965	11	2,8285	11	3,98003	11	3,04154	11	2,76905	11	1,97959	11	1,57435	11	3,85396	11	1,96963	11	1,81948	11	2,60168	11	2,8724	11	1,8788	11	3,07712	11	4,23803	
12	0,0578262	12	2,74458	12	3,85386	12	2,94985	12	2,66528	12	1,90707	12	1,51441	12	3,71148	12	1,90243	12	1,75869	12	2,5257	12	2,76069	12	1,81511	12	2,98285	12	4,1038	
13	0,0599526	13	2,66096	13	3,72491	13	2,85669	13	2,5558	13	1,83626	13	1,45419	13	3,56506	13	1,83586	13	1,69904	13	2,44755	13	2,64795	13	1,7505	13	2,89246	13	3,97237	
14	0,0621802	14	2,57197	14	3,59885	14	2,76054	14	2,44977	14	1,76389	14	1,39707	14	3,42526	14	1,77192	14	1,64059	14	2,36857	14	2,54127	14	1,69013	14	2,79699	14	3,83535	
15	0,0627566	15	2,479	15	3,47097	15	2,66605	15	2,34644	15	1,69205	15	1,33917	15	3,28638	15	1,70286	15	1,58024	15	2,28996	15	2,43171	15	1,633	15	2,70293	15	3,69407	
16	0,0668979	16	2,39034	16	3,34086	16	2,56931	16	2,2427	16	1,61767	16	1,27872	16	3,14795	16	1,63866	16	1,51697	16	2,20554	16	2,32877	16	1,56525	16	2,60613	16	3,54835	
17	0,0679754	17	2,30238	17	3,21164	17	2,47492	17	2,13727	17	1,54617	17	1,22185	17	3,01332	17	1,57111	17	1,45499	17	2,12398	17	2,21765	17	1,49933	17	2,5058	17	3,41044	
18	0,0710128	18	2,20803	18	3,08073	18	2,37697	18	2,03772	18	1,47675	18	1,16423	18	2,87742	18	1,50873	18	1,3919	18	2,04304	18	2,11003	18	1,43671	18	2,40892	18	3,26648	
19	0,0722931	19	2,11574	19	2,95174	19	2,27828	19	1,93908	19	1,40613	19	1,1082	19	2,74348	19	1,44721	19	1,32962	19	1,9644	19	2,00482	19	1,37314	19	2,31161	19	3,125	
20	0,0724524	20	2,02346	20	2,81788	20	2,16925	20	1,84187	20	1,34047	20	1,0535	20	2,6117	20	1,38134	20	1,26805	20	1,88444	20	1,90156	20	1,30922	20	2,20507	20	2,9783	
21	0,0757251	21	1,93467	21	2,68424	21	2,06515	21	1,74603	21	1,27435	21	0,995019	21	2,47541	21	1,31553	21	1,20873	21	1,80147	21	1,79622	21	1,24005	21	2,10282	21	2,82434	
22	0,0755707	22	1,84248	22	2,55354	22	1,96522	22	1,65202	22	1,2047	22	0,943102	22	2,34133	22	1,2509	22	1,14408	22	1,7142	22	1,6917	22	1,17629	22	1,99835	22	2,67519	
23	0,0771023	23	1,74704	23	2,42304	23	1,86214	23	1,55929	23	1,13552	23	0,889755	23	2,2141	23	1,18608	23	1,08427	23	1,62997	23	1,59109	23	1,1105	23	1,8942	23	2,52476	
24	0,0815532	24	1,65107	24	2,29046	24	1,75773	24	1,46482	24	1,06915	24	0,839696	24	2,08462	24	1,11989	24	1,0237	24	1,54091	24	1,49041	24	1,04889	24	1,78796	24	2,37414	
25	0,0861799	25	1,55923	25	2,15613	25	1,6498	25	1,37677	25	1,00016	25	0,787688	25	1,95314	25	1,05545	25	0,962591	25	1,455	25	1,39074	25	0,981104	25	1,67812	25	2,2231	
