Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	0,000927467	0	2,12858	0	3,91381	0	1,89446	0	3,2763	0	5,31955	0	4,10154	0	5,12278	0	3,94982	0	5,75994	0	3,89401	0	2,83108	0	5,45813	0	5,23479	0	2,12318	
1	0,00565755	1	2,08023	1	3,79041	1	1,84551	1	3,21344	1	5,16937	1	4,02333	1	5,0047	1	3,87259	1	5,6224	1	3,81465	1	2,77086	1	5,32556	1	5,11597	1	2,0582	
2	0,00681887	2	2,03241	2	3,67363	2	1,79854	2	3,15204	2	5,02568	2	3,94247	2	4,88716	2	3,79875	2	5,48688	2	3,73494	2	2,71128	2	5,19461	2	4,99227	2	1,99604	
3	0,0106001	3	1,98294	3	3,55156	3	1,75321	3	3,09051	3	4,87678	3	3,86004	3	4,76739	3	3,7202	3	5,3479	3	3,65227	3	2,64972	3	5,06102	3	4,87351	3	1,93369	
4	0,0118013	4	1,93206	4	3,43659	4	1,70411	4	3,02267	4	4,73301	4	3,7789	4	4,65348	4	3,6362	4	5,20967	4	3,57036	4	2,59167	4	4,92805	4	4,75216	4	1,8698	
5	0,0132324	5	1,88338	5	3,32591	5	1,65463	5	2,95447	5	4,58728	5	3,69135	5	4,53691	5	3,55509	5	5,07256	5	3,48847	5	2,53403	5	4,79694	5	4,62849	5	1,80766	
6	0,0160771	6	1,83656	6	3,21209	6	1,60978	6	2,8872	6	4,44008	6	3,60945	6	4,41423	6	3,4689	6	4,92682	6	3,40857	6	2,4723	6	4,66801	6	4,50454	6	1,74513	
7	0,0184684	7	1,79203	7	3,09605	7	1,56277	7	2,82015	7	4,29709	7	3,52382	7	4,2937	7	3,38324	7	4,77895	7	3,32757	7	2,41764	7	4,53498	7	4,38002	7	1,68515	
8	0,0206523	8	1,74276	8	2,98444	8	1,51525	8	2,7516	8	4,15342	8	3,43818	8	4,1759	8	3,29829	8	4,63782	8	3,2475	8	2,36113	8	4,40074	8	4,25373	8	1,62352	
9	0,0243482	9	1,69638	9	2,87215	9	1,46351	9	2,67675	9	4,01212	9	3,35437	9	4,05677	9	3,21427	9	4,49567	9	3,1654	9	2,30247	9	4,26322	9	4,12426	9	1,5697	
10	0,0274066	10	1,65274	10	2,76341	10	1,41579	10	2,60411	10	3,87193	10	3,26755	10	3,93361	10	3,12553	10	4,35218	10	3,07931	10	2,23975	10	4,13162	10	3,99163	10	1,50862	
11	0,03593	11	1,60632	11	2,65519	11	1,36393	11	2,53278	11	3,73495	11	3,17926	11	3,81303	11	3,03594	11	4,21088	11	2,99261	11	2,17349	11	3,99997	11	3,8601	11	1,4484	
12	0,0395819	12	1,55704	12	2,5495	12	1,31137	12	2,45911	12	3,59784	12	3,08771	12	3,69351	12	2,9442	12	4,06366	12	2,90298	12	2,11242	12	3,87023	12	3,72936	12	1,39083	
13	0,044718	13	1,50866	13	2,44703	13	1,26178	13	2,38886	13	3,46078	13	2,99872	13	3,56988	13	2,8519	13	3,92037	13	2,81379	13	2,05364	13	3,73757	13	3,59822	13	1,33705	
14	0,0492431	14	1,45819	14	2,34537	14	1,20887	14	2,31136	14	3,3182	14	2,90757	14	3,44306	14	2,76008	14	3,77699	14	2,72167	14	1,99452	14	3,60091	14	3,46573	14	1,2834	
15	0,0530776	15	1,40857	15	2,24088	15	1,15632	15	2,23774	15	3,17657	15	2,81006	15	3,31896	15	2,6674	15	3,6355	15	2,62935	15	1,92939	15	3,46949	15	3,33163	15	1,2229	
16	0,0568728	16	1,36102	16	2,13352	16	1,10695	16	2,16246	16	3,03426	16	2,71558	16	3,18835	16	2,57446	16	3,48966	16	2,52858	16	1,86308	16	3,33357	16	3,19456	16	1,16591	
17	0,0581194	17	1,30932	17	2,03198	17	1,0588	17	2,0848	17	2,9011	17	2,61788	17	3,06122	17	2,47832	17	3,34593	17	2,43602	17	1,80072	17	3,19066	17	3,05638	17	1,11114	
18	0,0617283	18	1,25909	18	1,93576	18	1,01171	18	2,00289	18	2,77196	18	2,5184	18	2,93281	18	2,38258	18	3,20534	18	2,34389	18	1,73547	18	3,05641	18	2,92397	18	1,05354	
19	0,0657883	19	1,2073	19	1,83493	19	0,964686	19	1,91948	19	2,64162	19	2,41643	19	2,80785	19	2,28994	19	3,06021	19	2,25066	19	1,66638	19	2,92523	19	2,79116	19	0,993762	
20	0,0665703	20	1,15695	20	1,73588	20	0,920301	20	1,83445	20	2,5134	20	2,31863	20	2,6781	20	2,19359	20	2,91426	20	2,15548	20	1,60028	20	2,79498	20	2,65812	20	0,942279	
21	0,0680131	21	1,10711	21	1,64009	21	0,870132	21	1,75314	21	2,37707	21	2,21841	21	2,54925	21	2,09594	21	2,76856	21	2,06255	21	1,53067	21	2,66293	21	2,52353	21	0,888759	
22	0,0710471	22	1,05254	22	1,54401	22	0,822894	22	1,66786	22	2,24356	22	2,11819	22	2,41855	22	1,99247	22	2,62031	22	1,96394	22	1,4623	22	2,53505	22	2,38582	22	0,836964	
23	0,0755738	23	1,00053	23	1,44885	23	0,779623	23	1,5881	23	2,11085	23	2,01442	23	2,28692	23	1,89109	23	2,47495	23	1,86137	23	1,39078	23	2,40301	23	2,25068	23	0,780286	
24	0,0778298	24	0,944591	24	1,36129	24	0,734195	24	1,50122	24	1,98544	24	1,90613	24	2,15752	24	1,78529	24	2,32848	24	1,76352	24	1,31885	24	2,27359	24	2,11353	24	0,725262	
25	0,0799008	25	0,893236	25	1,26827	25	0,691007	25	1,41561	25	1,85665	25	1,79821	25	2,02814	25	1,67993	25	2,18369	25	1,666	25	1,24498	25	2,14062	25	1,97463	25	0,673021	
26	0,0837847	26	0,839334	26	1,17506	26	0,647651	26	1,32698	26	1,72667	26	1,69047	26	1,90046	26	1,57424	26	2,03655	26	1,56569	26	1,17091	26	2,00993	26	1,83548	26	0,616299	
27	0,0883478	27	0,785319	27	1,08689	27	0,601084	27	1,23653	27	1,6014	27	1,58213	27	1,76897	27	1,47189	27	1,88953	27	1,45844	27	1,09677	27	1,88164	27	1,69623	27	0,557422	
28	0,0933259	28	0,731494	28	0,996179	28	0,554976	28	1,14859	28	1,47272	28	1,47483	28	1,63659	28	1,36529	28	1,74347	28	1,35656	28	1,01814	28	1,75831	28	1,56584	28	0,501014	
29	0,0996642	29	0,677721	29	0,908396	29	0,505177	29	1,06255	29	1,35171	29	1,36244	29	1,51108	29	1,25982	29	1,59578	29	1,25351	29	0,941141	29	1,63135	29	1,43197	29	0,446496	
30	0,105365	30	0,624277	30	0,821218	30	0,454018	30	0,974583	30	1,22685	30	1,25298	30	1,37851	30	1,14763	30	1,44857	30	1,1487	30	0,8658	30	1,50264	30	1,29885	30	0,38528	
31	0,109188	31	0,571543	31	0,73514	31	0,409931	31	0,882668	31	1,10521	31	1,14243	31	1,24349	31	1,03839	31	1,30799	31	1,03934	31	0,788501	31	1,37607	31	1,16514	31	0,329919	
32	0,11341	32	0,520172	32	0,653276	32	0,357506	32	0,792231	32	0,980728	32	1,02607	32	1,10602	32	0,925114	32	1,16381	32	0,931702	32	0,707657	32	1,25202	32	1,03246	32	0,275912	
33	0,117095	33	0,467985	33	0,573689	33	0,312345	33	0,702847	33	0,859221	33	0,913817	33	0,971136	33	0,812609	33	1,01926	33	0,820242	33	0,62258	33	1,12212	33	0,897215	33	0,22911	
34	0,120899	34	0,414805	34	0,488342	34	0,261361	34	0,606812	34	0,735636	34	0,798666	34	0,834547	34	0,697374	34	0,874803	34	0,706594	34	0,542921	34	0,994666	34	0,765784	34	0,173404	
35	0,125732	35	0,357689	35	0,406355	35	0,210686	35	0,509431	35	0,614213	35	0,678973	35	0,69541	35	0,586623	35	0,728299	35	0,591122	35	0,463148	35	0,863293	35	0,629232	35	0,115953	
36	0,130607	36	0,304161	36	0,325309	36	0,166648	36	0,409174	36	0,487001	36	0,560737	36	0,560213	36	0,471341	36	0,580999	36	0,475987	36	0,384056	36	0,73487	36	0,492047	36	0,0590193	
37	0,135558	37	0,251385	37	0,243725	37	0,119198	37	0,308057	37	0,362411	37	0,44245	37	0,421488	37	0,358436	37	0,433983	37	0,361673	37	0,298377	37	0,608797	37	0,349335	37	0,00171742	
38	0,140053	38	0,203355	38	0,164361	38	0,0688845	38	0,205247	38	0,242075	38	0,320946	38	0,278053	38	0,246068	38	0,290968	38	0,251796	38	0,213853	38	0,477371	38	0,202162	38	-0,0590487	
39	0,142962	39	0,152216	39	0,0879908	39	0,0189043	39	0,100849	39	0,118303	39	0,196179	39	0,137491	39	0,131428	39	0,151012	39	0,136228	39	0,12896	39	0,345937	39	0,0637326	39	-0,117665	
40	0,150374	40	0,104038	40	0,0144132	40	-0,0301489	40	-0,00395477	40	0,00104851	40	0,073642	40	-0,00218758	40	0,0179625	40	0,00628711	40	0,0226504	40	0,0446222	40	0,215862	40	-0,0780615	40	-0,175764	
41	0,152656	41	0,105074	41	0,0173574	41	-0,026667	41	0,00046576	41	0,00325286	41	0,0739179	41	-0,00272322	41	0,0173069	41	0,000440829	41	0,0258203	41	0,0459218	41	0,213855	41	-0,0767681	41	-0,179435	
42	0,153629	42	0,110212	42	0,0212355	42	-0,0229617	42	0,00247678	42	0,00286778	42	0,0696897	42	-0,00140759	42	0,0185489	42	-0,00120365	42	0,026553	42	0,0466488	42	0,211736	42	-0,0723698	42	-0,18049	
43	0,157613	43	0,108592	43	0,0194709	43	-0,0234462	43	0,00578979	43	0,00161169	43	0,069066	43	0,000946736	43	0,0191199	43	-0,00210232	43	0,0274532	43	0,0506957	43	0,211716	43	-0,0670277	43	-0,183902	
44	0,159533	44	0,110483	44	0,0175175	44	-0,0211551	44	0,00299674	44	-0,000731424	44	0,0712211	44	0,00432204	44	0,0162084	44	-0,00590002	44	0,0287869	44	0,0539179	44	0,210991	44	-0,0689887	44	-0,184818	
45	0,165484	45	0,114887	45	0,0188661	45	-0,0160262	45	0,00600035	45	-0,00265388	45	0,0686932	45	0,00444894	45	0,0164015	45	-0,00725635	45	0,0317406	45	0,0537811	45	0,212061	45	-0,0670455	45	-0,186834	
46	0,171281	46	0,120289	46	0,0187952	46	-0,0099902	46	0,0104064	46	-0,00194574	46	0,0708806	46	0,00595974	46	0,0140048	46	-0,00919836	46	0,0305024	46	0,0527406	46	0,212322	46	-0,0644101	46	-0,188815	
47	0,174165	47	0,116454	47	0,0240159	47	-0,00964241	47	0,0153147	47	0,0028447	47	0,0715376	47	0,0113321	47	0,013248	47	-0,00614835	47	0,0331417	47	0,0550149	47	0,214271	47	-0,0624953	47	-0,186993	
48	0,175499	48	0,114618	48	0,026041	48	-0,00761769	48	0,0165613	48	0,000413354	48	0,0712575	48	0,0163206	48	0,0131114	48	0,000127358	48	0,0269965	48	0,0518161	48	0,212108	48	-0,0638814	48	-0,188548	
49	0,178613	49	0,113104	49	0,032521	49	-0,00691221	49	0,0219407	49	0,00285993	49	0,0680396	49	0,0155608	49	0,01224	49	-0,000516153	49	0,0248575	49	0,0474441	49	0,214426	49	-0,0619408	49	-0,189776	
50	0,179576	50	0,113764	50	0,0371148	50	-0,00366641	50	0,0264648	50	0,00354973	50	0,0665882	50	0,0152173	50	0,0119718	50	0,00103912	50	0,0228569	50	0,0467763	50	0,219608	50	-0,0603576	50	-0,193735	
51	0,181843	51	0,111364	51	0,0400088	51	-0,00335436	51	0,0308879	51	0,00461382	51	0,0641077	51	0,0190207	51	0,0106773	51	-0,00349405	51	0,0230906	51	0,0500148	51	0,215123	51	-0,055505	51	-0,186125	
52	0,176937	52	0,109013	52	0,0429449	52	-0,00155061	52	0,0340501	52	0,00585444	52	0,065033	52	0,0199089	52	0,0149852	52	-0,00799582	52	0,0239458	52	0,0579364	52	0,21691	52	-0,0467983	52	-0,185024	
53	0,178378	53	0,110779	53	0,0414231	53	0,00377997	53	0,0313194	53	0,00588505	53	0,0628961	53	0,0205226	53	0,0156044	53	-0,00984103	53	0,0231316	53	0,0610909	53	0,213613	53	-0,0441523	53	-0,182	
54	0,176418	54	0,111907	54	0,0425431	54	0,00946913	54	0,0321603	54	0,00661827	54	0,0591433	54	0,0194082	54	0,0184554	54	-0,0111239	54	0,0251825	54	0,0636718	54	0,214349	54	-0,0417085	54	-0,17854	
