Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	-5,05646E-5	0	5,20791	0	2,61674	0	2,53912	0	5,21856	0	5,53761	0	4,88846	0	4,27763	0	5,25425	0	2,49135	0	4,27295	0	4,81432	0	2,46228	0	4,53677	0	3,44965	
1	-0,000376971	1	5,07913	1	2,53439	1	2,47886	1	5,08742	1	5,40254	1	4,7528	1	4,18305	1	5,12448	1	2,42898	1	4,17855	1	4,70944	1	2,39843	1	4,40483	1	3,3553	
2	-0,00183201	2	4,94519	2	2,45324	2	2,41554	2	4,95879	2	5,26336	2	4,61564	2	4,08604	2	4,99565	2	2,36526	2	4,08683	2	4,605	2	2,33743	2	4,26573	2	3,26307	
3	-0,00144589	3	4,82001	3	2,37742	3	2,35502	3	4,82737	3	5,12443	3	4,47941	3	3,98559	3	4,86828	3	2,30048	3	3,99573	3	4,49887	3	2,27907	3	4,12646	3	3,16952	
4	-0,00354929	4	4,68886	4	2,29926	4	2,29316	4	4,69129	4	4,98029	4	4,34138	4	3,88707	4	4,73435	4	2,23406	4	3,89719	4	4,39326	4	2,21638	4	3,99152	4	3,08005	
5	-0,000376114	5	4,55905	5	2,22372	5	2,23132	5	4,55688	5	4,83579	5	4,20287	5	3,78596	5	4,60333	5	2,16935	5	3,80002	5	4,28597	5	2,16161	5	3,86111	5	2,98908	
6	-0,00218481	6	4,42634	6	2,14299	6	2,16808	6	4,42226	6	4,6897	6	4,0665	6	3,68937	6	4,46624	6	2,10632	6	3,70389	6	4,17696	6	2,10641	6	3,72873	6	2,89771	
7	-0,0048908	7	4,30227	7	2,06557	7	2,10141	7	4,28497	7	4,54534	7	3,92776	7	3,58888	7	4,33067	7	2,04512	7	3,60777	7	4,06945	7	2,05699	7	3,60213	7	2,80393	
8	-0,0066793	8	4,17447	8	1,98772	8	2,03941	8	4,14794	8	4,40566	8	3,78769	8	3,49107	8	4,19613	8	1,97804	8	3,50843	8	3,9571	8	2,00535	8	3,47703	8	2,71476	
9	-0,0039696	9	4,04522	9	1,91094	9	1,97097	9	4,00858	9	4,25887	9	3,65646	9	3,39076	9	4,06537	9	1,91769	9	3,40568	9	3,84634	9	1,9532	9	3,3507	9	2,62425	
