Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	0,000271929	0	3,44071	0	4,9371	0	3,14113	0	2,59427	0	2,9621	0	2,33679	0	5,37617	0	4,15219	0	2,7808	0	5,5387	0	2,2377	0	5,3939	0	4,99463	0	4,94882	
1	-7,07398E-5	1	3,34849	1	4,80858	1	3,07732	1	2,52889	1	2,87445	1	2,2775	1	5,24301	1	4,06269	1	2,7127	1	5,39801	1	2,17424	1	5,25882	1	4,88653	1	4,81236	
2	-0,0017656	2	3,25425	2	4,68013	2	3,01181	2	2,46374	2	2,78986	2	2,21881	2	5,1139	2	3,97189	2	2,64753	2	5,25752	2	2,11213	2	5,1197	2	4,77859	2	4,67204	
3	-0,00120337	3	3,15948	3	4,5522	3	2,94992	3	2,39776	3	2,70686	3	2,15877	3	4,98148	3	3,88146	3	2,57922	3	5,11819	3	2,05179	3	4,9836	3	4,66762	3	4,53341	
4	0,00350599	4	3,06735	4	4,41965	4	2,88825	4	2,33356	4	2,61857	4	2,10069	4	4,84956	4	3,78866	4	2,50924	4	4,98486	4	1,99045	4	4,84339	4	4,55608	4	4,39363	
5	0,00719497	5	2,97155	5	4,29242	5	2,82514	5	2,2689	5	2,53091	5	2,03767	5	4,7225	5	3,69888	5	2,43636	5	4,84654	5	1,93248	5	4,70294	5	4,44209	5	4,24752	
6	0,00668582	6	2,88184	6	4,16642	6	2,75823	6	2,20332	6	2,44561	6	1,97892	6	4,60392	6	3,61018	6	2,36329	6	4,70831	6	1,86701	6	4,56348	6	4,32665	6	4,10384	
7	0,00534333	7	2,78603	7	4,0357	7	2,69584	7	2,13946	7	2,36677	7	1,92347	7	4,4822	7	3,51815	7	2,29005	7	4,57084	7	1,80702	7	4,42572	7	4,21591	7	3,96332	
8	0,00226476	8	2,69345	8	3,90989	8	2,62951	8	2,07442	8	2,29104	8	1,86822	8	4,35923	8	3,42259	8	2,21987	8	4,43068	8	1,74802	8	4,28669	8	4,1011	8	3,81892	
9	0,00465053	9	2,59779	9	3,77953	9	2,56732	9	2,01166	9	2,2125	9	1,81059	9	4,231	9	3,32816	9	2,15209	9	4,29538	9	1,68968	9	4,14751	9	3,98836	9	3,67852	
10	0,00781156	10	2,50239	10	3,64826	10	2,50242	10	1,94743	10	2,13081	10	1,75742	10	4,10303	10	3,2328	10	2,0762	10	4,16023	10	1,63476	10	4,00851	10	3,87629	10	3,53423	
11	0,00555168	11	2,41208	11	3,52092	11	2,43371	11	1,88427	11	2,05015	11	1,70217	11	3,9736	11	3,13458	11	2,00241	11	4,02165	11	1,58109	11	3,86874	11	3,7613	11	3,39598	
12	0,00383699	12	2,31909	12	3,39111	12	2,3689	12	1,82274	12	1,96877	12	1,64859	12	3,8403	12	3,03667	12	1,93056	12	3,88335	12	1,52197	12	3,72613	12	3,63828	12	3,25574	
13	0,00120667	13	2,23139	13	3,26276	13	2,30353	13	1,75848	13	1,88652	13	1,58634	13	3,71151	13	2,94078	13	1,86009	13	3,74157	13	1,46501	13	3,58701	13	3,52066	13	3,11907	
14	0,00125147	14	2,14454	14	3,13496	14	2,23183	14	1,69609	14	1,8073	14	1,53066	14	3,58137	14	2,84367	14	1,78763	14	3,60301	14	1,40924	14	3,44847	14	3,40136	14	2,98482	
15	0,0022548	15	2,05993	15	3,00723	15	2,15649	15	1,63728	15	1,72855	15	1,47381	15	3,44325	15	2,74395	15	1,7146	15	3,46351	15	1,36103	15	3,30832	15	3,28043	15	2,85398	
16	-0,000427183	16	1,97579	16	2,88266	16	2,07889	16	1,57679	16	1,64637	16	1,40996	16	3,30941	16	2,64413	16	1,64269	16	3,32409	16	1,3086	16	3,17404	16	3,16043	16	2,72133	
17	-0,000817668	17	1,89547	17	2,7578	17	2,00026	17	1,51421	17	1,57139	17	1,35388	17	3,17227	17	2,54206	17	1,57361	17	3,19049	17	1,25309	17	3,03801	17	3,03807	17	2,58648	
18	-0,00221833	18	1,81449	18	2,62993	18	1,9249	18	1,4465	18	1,4965	18	1,29749	18	3,03984	18	2,44766	18	1,50104	18	3,05193	18	1,19742	18	2,90399	18	2,91068	18	2,45338	
19	0,000880546	19	1,73548	19	2,50522	19	1,84895	19	1,37742	19	1,42367	19	1,23741	19	2,90455	19	2,34637	19	1,42212	19	2,91371	19	1,14513	19	2,77141	19	2,78236	19	2,32294	
20	0,000817031	20	1,66255	20	2,37966	20	1,77122	20	1,30815	20	1,34851	20	1,17365	20	2,77015	20	2,24264	20	1,34369	20	2,77628	20	1,09121	20	2,63715	20	2,65281	20	2,19592	
21	0,0011733	21	1,58363	21	2,25486	21	1,6897	21	1,24267	21	1,27977	21	1,10826	21	2,64029	21	2,13906	21	1,26676	21	2,64127	21	1,03769	21	2,503	21	2,52017	21	2,06808	
22	0,00354959	22	1,50521	22	2,12799	22	1,60705	22	1,17478	22	1,20855	22	1,04436	22	2,50729	22	2,03373	22	1,19857	22	2,50771	22	0,984354	22	2,37573	22	2,38657	22	1,94812	
23	0,0058983	23	1,42756	23	2,00033	23	1,52595	23	1,10562	23	1,13538	23	0,975983	23	2,37565	23	1,93254	23	1,12611	23	2,37176	23	0,930665	23	2,24364	23	2,25578	23	1,82761	
24	0,00727938	24	1,34919	24	1,87611	24	1,44035	24	1,03884	24	1,06251	24	0,913325	24	2,24318	24	1,82552	24	1,05326	24	2,23895	24	0,881909	24	2,11327	24	2,12485	24	1,70455	
25	0,006325	25	1,27373	25	1,7525	25	1,35595	25	0,977171	25	0,988078	25	0,851927	25	2,11318	25	1,71941	25	0,986865	25	2,10852	25	0,826083	25	1,98628	25	1,98961	25	1,5841	
26	0,00409806	26	1,1941	26	1,62765	26	1,27249	26	0,910596	26	0,921012	26	0,792213	26	1,98302	26	1,61665	26	0,910387	26	1,97783	26	0,774982	26	1,85468	26	1,85738	26	1,46743	
27	0,00145481	27	1,1235	27	1,50366	27	1,18033	27	0,840731	27	0,853917	27	0,732991	27	1,85165	27	1,51075	27	0,834588	27	1,8432	27	0,721002	27	1,72684	27	1,72401	27	1,35331	
