Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	Time (s/500) - Plot 14	Newton - Plot 14	
0	0,000902437	0	3,38228	0	3,55424	0	3,29269	0	3,15934	0	3,14596	0	3,66006	0	3,25661	0	3,64335	0	4,58674	0	4,48633	0	4,62755	0	4,51038	0	4,20841	0	4,36318	
1	0,00433279	1	3,29668	1	3,46063	1	3,20486	1	3,08123	1	3,06522	1	3,58312	1	3,17704	1	3,55944	1	4,48054	1	4,37855	1	4,51368	1	4,40362	1	4,10841	1	4,26092	
2	0,00647775	2	3,20431	2	3,36497	2	3,11531	2	2,99912	2	2,98593	2	3,50381	2	3,0979	2	3,4813	2	4,37253	2	4,27287	2	4,40065	2	4,29233	2	4,00452	2	4,15604	
3	0,00729538	3	3,1141	3	3,26899	3	3,0245	3	2,91408	3	2,90822	3	3,42725	3	3,01322	3	3,40316	3	4,2612	3	4,16438	3	4,2858	3	4,18779	3	3,90278	3	4,05511	
4	0,0136354	4	3,02392	4	3,17737	4	2,9359	4	2,83118	4	2,82651	4	3,35123	4	2,92858	4	3,32406	4	4,14652	4	4,05868	4	4,16993	4	4,07996	4	3,79817	4	3,95347	
5	0,015778	5	2,93549	5	3,08405	5	2,84835	5	2,74767	5	2,7441	5	3,27522	5	2,85099	5	3,2472	5	4,03527	5	3,95035	5	4,05716	5	3,97684	5	3,69836	5	3,85418	
6	0,0216256	6	2,84931	6	2,99168	6	2,75725	6	2,66518	6	2,66107	6	3,19242	6	2,7657	6	3,16831	6	3,92474	6	3,84289	6	3,93939	6	3,87063	6	3,59396	6	3,75383	
7	0,0237428	7	2,75777	7	2,90179	7	2,66443	7	2,58448	7	2,58251	7	3,1124	7	2,68538	7	3,09163	7	3,81411	7	3,73415	7	3,82745	7	3,76385	7	3,4902	7	3,64794	
8	0,0269123	8	2,6722	8	2,80981	8	2,57571	8	2,50263	8	2,49441	8	3,03177	8	2,60267	8	3,01377	8	3,70221	8	3,62388	8	3,71158	8	3,65752	8	3,38807	8	3,5428	
9	0,0278133	9	2,58484	9	2,71894	9	2,48793	9	2,41836	9	2,41529	9	2,94973	9	2,52523	9	2,93257	9	3,58639	9	3,51419	9	3,59493	9	3,55089	9	3,2886	9	3,43566	
10	0,0318909	10	2,50125	10	2,63117	10	2,39875	10	2,33483	10	2,33272	10	2,86953	10	2,44935	10	2,85557	10	3,46938	10	3,40244	10	3,47646	10	3,44818	10	3,18885	10	3,33244	
11	0,0353085	11	2,41741	11	2,53959	11	2,30857	11	2,25311	11	2,24697	11	2,7884	11	2,37132	11	2,7753	11	3,35234	11	3,28947	11	3,35875	11	3,33813	11	3,08669	11	3,22611	
12	0,0347347	12	2,32982	12	2,4474	12	2,22095	12	2,17097	12	2,16086	12	2,70819	12	2,29039	12	2,69393	12	3,23194	12	3,17588	12	3,23853	12	3,22812	12	2,98705	12	3,11754	
13	0,0358255	13	2,24024	13	2,35094	13	2,13225	13	2,08689	13	2,07806	13	2,6258	13	2,21306	13	2,61043	13	3,11272	13	3,06521	13	3,12029	13	3,12211	13	2,88298	13	3,0087	
14	0,03441	14	2,15227	14	2,25566	14	2,04615	14	2,00465	14	1,99896	14	2,53587	14	2,13456	14	2,53091	14	2,99308	14	2,95233	14	3,00231	14	3,01271	14	2,77913	14	2,90135	
15	0,0354062	15	2,06702	15	2,16542	15	1,95383	15	1,9207	15	1,91785	15	2,45243	15	2,05364	15	2,4481	15	2,87358	15	2,83949	15	2,88364	15	2,90173	15	2,67683	15	2,79813	
16	0,0382109	16	1,97634	16	2,07118	16	1,86755	16	1,8416	16	1,83349	16	2,369	16	1,97047	16	2,36258	16	2,75606	16	2,72542	16	2,76704	16	2,79263	16	2,57186	16	2,69193	
17	0,0416525	17	1,88912	17	1,97312	17	1,78364	17	1,75974	17	1,74985	17	2,28358	17	1,88982	17	2,27705	17	2,64289	17	2,61571	17	2,64996	17	2,6848	17	2,47074	17	2,58802	
18	0,0426331	18	1,80264	18	1,87665	18	1,69369	18	1,6791	18	1,6674	18	2,19528	18	1,80942	18	2,18855	18	2,52568	18	2,50588	18	2,53479	18	2,57354	18	2,36854	18	2,48226	
19	0,0443947	19	1,7136	19	1,78286	19	1,60707	19	1,59682	19	1,58948	19	2,1081	19	1,72942	19	2,10004	19	2,40605	19	2,39467	19	2,41833	19	2,46075	19	2,26504	19	2,37903	
20	0,0463251	20	1,62089	20	1,69145	20	1,52199	20	1,51148	20	1,51354	20	2,02114	20	1,65291	20	2,0139	20	2,28984	20	2,28142	20	2,30525	20	2,35092	20	2,15857	20	2,2679	
21	0,0507214	21	1,5324	21	1,5952	21	1,43221	21	1,42663	21	1,43675	21	1,92858	21	1,57356	21	1,92352	21	2,17381	21	2,17016	21	2,1883	21	2,23909	21	2,05188	21	2,16384	
22	0,0542978	22	1,446	22	1,50018	22	1,34329	22	1,34004	22	1,35536	22	1,83666	22	1,49355	22	1,82979	22	2,0597	22	2,05762	22	2,07062	22	2,12483	22	1,94418	22	2,05368	
23	0,0564357	23	1,35556	23	1,4028	23	1,25237	23	1,25587	23	1,27598	23	1,74857	23	1,41435	23	1,74451	23	1,94736	23	1,9408	23	1,95561	23	2,01341	23	1,8391	23	1,94477	
24	0,0558983	24	1,26637	24	1,31186	24	1,16622	24	1,17192	24	1,19451	24	1,65954	24	1,33858	24	1,65334	24	1,83119	24	1,82605	24	1,83644	24	1,89673	24	1,73207	24	1,83773	
25	0,0552757	25	1,17622	25	1,21338	25	1,07518	25	1,08528	25	1,11627	25	1,56848	25	1,26172	25	1,56296	25	1,7175	25	1,71287	25	1,72018	25	1,7858	25	1,62923	25	1,73399	
26	0,0573119	26	1,08182	26	1,12052	26	0,996667	26	0,999481	26	1,0422	26	1,47613	26	1,18005	26	1,47505	26	1,60183	26	1,59371	26	1,60622	26	1,67877	26	1,52695	26	1,62832	
27	0,0609435	27	0,988006	27	1,03028	27	0,911507	27	0,914003	27	0,963818	27	1,38381	27	1,09943	27	1,38624	27	1,48579	27	1,47278	27	1,492	27	1,56414	27	1,41696	27	1,51674	
28	0,0625851	28	0,900309	28	0,943871	28	0,827671	28	0,826927	28	0,880404	28	1,29166	28	1,01702	28	1,29951	28	1,37086	28	1,35552	28	1,37663	28	1,4515	28	1,30985	28	1,40833	
